AlexNet_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.130000     99.976562     48.610000     67.304688     19.190000     28.429688     11.62s
INT_2     10.000000     10.156250     10.000000     10.156250     10.000000     10.156250     21.60s
INT_3     14.040000     17.890625     10.000000     10.156250     10.000000     10.156250     33.12s
INT_4     48.760000     74.398438     15.290000     13.703125     13.590000     9.960938     25.82s
INT_5     76.320000     99.343750     23.810000     42.835938     16.590000     30.820312     22.04s
INT_6     88.930000     99.937500     44.050000     69.210938     25.140000     42.804688     36.14s
INT_7     89.790000     99.968750     47.510000     66.906250     24.320000     34.296875     34.73s
INT_8     90.270000     99.960938     47.840000     68.234375     21.490000     31.757812     35.67s
INT_9     90.050000     99.976562     48.260000     67.492188     20.100000     29.445312     36.22s
INT_10     90.100000     99.976562     48.450000     67.679688     19.650000     29.046875     36.48s
INT_11     90.120000     99.976562     48.390000     67.460938     19.400000     28.601562     32.79s
INT_12     90.160000     99.976562     48.540000     67.273438     19.290000     28.453125     33.57s
INT_13     90.140000     99.976562     48.500000     67.312500     19.320000     28.453125     35.52s
INT_14     90.130000     99.976562     48.530000     67.289062     19.110000     28.406250     36.37s
INT_15     90.140000     99.976562     48.660000     67.335938     19.200000     28.406250     35.24s
INT_16     90.130000     99.976562     48.590000     67.382812     19.280000     28.468750     35.09s
POT_2     10.000000     10.156250     10.000000     10.156250     10.000000     10.156250     37.73s
POT_3     17.430000     25.765625     10.020000     14.835938     9.950000     13.992188     42.93s
POT_4     74.760000     99.062500     28.610000     36.507812     16.140000     24.250000     42.19s
POT_5     74.240000     99.093750     29.910000     37.445312     17.070000     23.445312     47.22s
POT_6     74.820000     99.070312     30.580000     36.539062     16.690000     23.656250     59.03s
POT_7     74.470000     99.093750     30.410000     36.781250     16.600000     23.429688     91.95s
POT_8     74.430000     99.062500     30.620000     36.375000     17.170000     23.664062     160.59s
FLOAT_3_E1     23.080000     30.632812     11.260000     12.554688     10.660000     11.289062     36.55s
FLOAT_4_E1     68.170000     92.265625     20.750000     40.234375     14.390000     27.406250     41.31s
FLOAT_4_E2     72.820000     94.984375     24.140000     36.531250     17.950000     29.382812     40.24s
FLOAT_5_E1     82.610000     99.281250     33.740000     53.000000     19.710000     30.765625     47.46s
FLOAT_5_E2     85.470000     99.773438     39.440000     49.210938     22.890000     31.976562     46.36s
FLOAT_5_E3     87.700000     99.898438     44.720000     54.546875     22.590000     27.132812     43.32s
FLOAT_6_E1     85.780000     99.742188     40.120000     51.828125     21.000000     27.710938     62.65s
FLOAT_6_E2     87.750000     99.929688     42.450000     54.093750     21.100000     31.609375     63.73s
FLOAT_6_E3     89.550000     99.968750     48.260000     65.695312     21.620000     28.757812     63.61s
FLOAT_6_E4     88.000000     99.898438     45.590000     55.273438     22.930000     27.945312     62.84s
FLOAT_7_E1     86.830000     99.851562     41.340000     53.375000     19.440000     27.085938     95.38s
FLOAT_7_E2     88.650000     99.960938     44.810000     59.593750     20.980000     30.406250     92.52s
FLOAT_7_E3     89.930000     99.976562     48.130000     66.914062     19.650000     30.203125     95.62s
FLOAT_7_E4     89.280000     99.960938     48.080000     64.726562     21.560000     28.585938     95.99s
FLOAT_7_E5     87.810000     99.906250     45.390000     55.476562     22.670000     27.445312     92.61s
FLOAT_8_E1     86.990000     99.867188     42.260000     54.820312     18.980000     27.117188     161.30s
FLOAT_8_E2     88.870000     99.929688     44.850000     60.468750     20.070000     29.796875     162.49s
FLOAT_8_E3     90.100000     99.976562     48.020000     67.773438     19.310000     29.164062     162.06s
FLOAT_8_E4     89.800000     99.976562     48.030000     66.960938     19.850000     30.078125     162.40s
FLOAT_8_E5     89.560000     99.968750     48.370000     65.421875     21.540000     28.804688     162.15s
FLOAT_8_E6     87.880000     99.890625     45.520000     55.187500     22.780000     28.109375     162.52s
