AlexNet_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.130000     91.062500     48.610000     38.828125     19.260000     21.398438     12.66s
INT_2     10.000000     10.296875     10.000000     10.296875     10.000000     10.296875     35.11s
INT_3     14.040000     12.007812     10.000000     10.296875     10.000000     10.296875     36.84s
INT_4     48.760000     28.273438     14.790000     10.976562     13.390000     9.742188     35.88s
INT_5     76.320000     64.187500     23.870000     22.929688     16.550000     18.015625     36.24s
INT_6     88.930000     81.875000     44.510000     36.875000     24.740000     25.710938     36.44s
INT_7     89.790000     91.179688     47.360000     37.539062     24.110000     23.421875     36.47s
INT_8     90.270000     90.492188     47.970000     38.859375     21.460000     23.406250     35.81s
INT_9     90.050000     91.093750     48.450000     38.812500     20.380000     22.164062     26.21s
INT_10     90.100000     91.007812     48.340000     38.875000     19.710000     21.765625     35.04s
INT_11     90.120000     91.054688     48.290000     38.789062     19.300000     21.656250     23.97s
INT_12     90.160000     91.062500     48.470000     38.757812     19.310000     21.468750     35.02s
INT_13     90.140000     91.062500     48.510000     38.757812     19.140000     21.421875     34.42s
INT_14     90.130000     91.062500     48.620000     38.789062     19.210000     21.414062     30.86s
INT_15     90.140000     91.062500     48.630000     38.765625     19.290000     21.382812     34.77s
INT_16     90.130000     91.054688     48.570000     38.765625     19.270000     21.437500     35.31s
POT_2     10.000000     10.296875     10.000000     10.296875     10.000000     10.296875     46.27s
POT_3     17.430000     18.187500     10.000000     11.531250     10.220000     11.460938     40.41s
POT_4     74.770000     73.265625     28.550000     26.367188     16.370000     20.390625     40.61s
POT_5     74.240000     72.046875     30.290000     30.625000     16.890000     23.726562     49.17s
POT_6     74.800000     73.281250     30.580000     27.718750     17.060000     20.828125     62.51s
POT_7     74.470000     73.250000     30.400000     27.960938     16.990000     20.898438     95.41s
POT_8     74.430000     73.585938     30.560000     27.765625     16.850000     20.468750     161.43s
FLOAT_3_E1     23.080000     25.921875     11.380000     14.140625     10.840000     13.039062     40.21s
FLOAT_4_E1     68.170000     60.023438     21.470000     29.671875     14.870000     24.898438     39.26s
FLOAT_4_E2     72.810000     49.695312     24.190000     20.257812     18.220000     17.062500     38.71s
FLOAT_5_E1     82.610000     76.593750     34.510000     29.273438     19.630000     22.343750     45.00s
FLOAT_5_E2     85.470000     78.242188     39.400000     27.156250     22.580000     18.781250     42.46s
FLOAT_5_E3     87.700000     88.054688     45.120000     33.617188     22.630000     22.179688     42.63s
FLOAT_6_E1     85.780000     82.664062     39.940000     30.523438     20.840000     21.328125     58.43s
FLOAT_6_E2     87.750000     83.468750     42.580000     31.382812     21.330000     19.210938     58.39s
FLOAT_6_E3     89.550000     88.476562     48.230000     35.531250     21.740000     20.460938     58.47s
FLOAT_6_E4     87.990000     87.625000     45.560000     33.328125     22.570000     21.968750     58.41s
FLOAT_7_E1     86.830000     85.484375     41.060000     30.273438     19.290000     19.765625     95.96s
FLOAT_7_E2     88.640000     87.718750     44.460000     33.757812     21.010000     19.914062     95.70s
FLOAT_7_E3     89.930000     90.515625     48.110000     38.796875     19.820000     22.070312     93.19s
FLOAT_7_E4     89.260000     88.460938     48.030000     35.656250     21.460000     20.367188     95.11s
FLOAT_7_E5     87.810000     87.570312     45.390000     33.289062     22.500000     22.054688     95.74s
FLOAT_8_E1     86.990000     86.273438     41.880000     30.812500     19.240000     19.695312     161.59s
FLOAT_8_E2     88.870000     88.820312     45.090000     35.101562     20.180000     21.062500     161.42s
FLOAT_8_E3     90.100000     90.664062     47.900000     38.351562     19.290000     21.515625     161.45s
FLOAT_8_E4     89.800000     90.562500     48.230000     38.992188     19.730000     22.078125     160.13s
FLOAT_8_E5     89.560000     88.507812     48.200000     35.367188     21.490000     20.648438     161.57s
FLOAT_8_E6     87.880000     87.609375     45.400000     33.148438     22.670000     21.898438     162.22s
