AlexNet cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      88.640000     95.859375     45.340000     48.312500     19.870000     19.773438     11.55s
INT_2     10.000000     9.882812     10.000000     9.882812     10.000000     9.882812     26.12s
INT_3     10.120000     9.585938     10.000000     9.828125     10.000000     9.828125     28.13s
INT_4     55.760000     21.328125     14.210000     12.359375     11.580000     10.000000     28.33s
INT_5     82.890000     75.414062     37.630000     37.070312     28.830000     30.320312     27.25s
INT_6     87.300000     89.273438     44.030000     45.296875     30.470000     33.867188     28.50s
INT_7     88.230000     92.593750     44.110000     48.296875     26.070000     29.820312     27.30s
INT_8     88.420000     95.539062     45.360000     49.085938     23.120000     24.617188     26.47s
INT_9     88.570000     95.515625     45.290000     48.234375     21.130000     21.718750     29.46s
INT_10     88.690000     95.695312     45.350000     48.578125     20.470000     20.601562     30.35s
INT_11     88.670000     95.773438     45.480000     48.492188     20.190000     19.968750     23.86s
INT_12     88.650000     95.820312     45.260000     48.203125     19.960000     19.843750     29.32s
INT_13     88.620000     95.835938     45.320000     48.273438     19.860000     19.718750     21.08s
INT_14     88.650000     95.851562     45.260000     48.296875     19.810000     19.781250     20.28s
INT_15     88.620000     95.859375     45.300000     48.343750     19.880000     19.820312     21.88s
INT_16     88.630000     95.867188     45.350000     48.343750     19.870000     19.742188     20.06s
POT_2     10.000000     9.882812     10.000000     9.882812     10.000000     9.882812     34.26s
POT_3     16.660000     11.054688     10.010000     9.828125     10.010000     9.828125     35.33s
POT_4     69.720000     72.195312     27.940000     22.312500     17.210000     16.585938     36.98s
POT_5     69.820000     72.960938     27.650000     21.328125     15.360000     15.257812     44.30s
POT_6     70.690000     72.507812     27.950000     21.875000     15.300000     15.398438     61.61s
POT_7     70.350000     72.914062     27.880000     21.367188     15.550000     15.148438     93.04s
POT_8     69.880000     73.070312     27.670000     21.289062     15.590000     15.109375     159.20s
FLOAT_3_E1     23.040000     23.671875     14.810000     19.656250     12.180000     15.976562     30.31s
FLOAT_4_E1     68.130000     66.664062     24.490000     28.875000     17.330000     22.562500     36.84s
FLOAT_4_E2     66.690000     41.289062     24.390000     22.781250     20.260000     20.023438     37.31s
FLOAT_5_E1     79.460000     82.484375     28.880000     32.195312     18.880000     22.320312     44.82s
FLOAT_5_E2     83.980000     78.796875     38.050000     38.343750     24.160000     25.937500     44.75s
FLOAT_5_E3     84.950000     89.390625     39.050000     38.515625     19.540000     20.539062     43.53s
FLOAT_6_E1     83.310000     87.921875     33.350000     43.343750     18.760000     25.039062     58.19s
FLOAT_6_E2     87.120000     88.531250     40.590000     37.906250     21.890000     21.085938     58.11s
FLOAT_6_E3     87.990000     93.718750     44.360000     48.609375     20.210000     20.351562     57.93s
FLOAT_6_E4     85.210000     89.656250     39.180000     37.476562     19.930000     19.718750     58.23s
FLOAT_7_E1     85.030000     88.312500     35.140000     47.812500     18.060000     25.906250     91.86s
FLOAT_7_E2     87.540000     91.695312     41.970000     37.226562     20.980000     17.679688     94.28s
FLOAT_7_E3     88.650000     95.453125     44.930000     48.140625     20.010000     21.007812     94.63s
FLOAT_7_E4     88.110000     93.734375     44.070000     48.078125     20.130000     20.195312     93.68s
FLOAT_7_E5     85.230000     89.429688     39.150000     37.304688     19.880000     19.429688     94.21s
FLOAT_8_E1     86.080000     89.343750     36.570000     48.812500     17.650000     24.742188     160.78s
FLOAT_8_E2     87.870000     92.304688     42.340000     35.843750     19.240000     16.101562     160.98s
FLOAT_8_E3     88.700000     95.898438     44.780000     48.742188     19.900000     20.609375     159.82s
FLOAT_8_E4     88.620000     95.226562     44.780000     47.507812     19.930000     20.953125     159.36s
FLOAT_8_E5     88.210000     93.773438     44.070000     48.421875     20.090000     20.195312     159.44s
FLOAT_8_E6     85.220000     89.656250     38.670000     37.437500     19.480000     19.765625     159.55s
