Inception_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.840000     95.078125     42.750000     41.726562     7.220000     7.421875     230.02s
INT_2     10.000000     9.718750     10.000000     9.718750     10.000000     9.718750     365.64s
INT_3     10.460000     10.273438     10.850000     9.429688     10.340000     9.242188     365.24s
INT_4     29.940000     17.429688     14.270000     13.875000     10.530000     14.945312     368.69s
INT_5     80.500000     53.632812     33.510000     35.109375     16.580000     25.281250     370.48s
INT_6     93.450000     86.859375     42.360000     35.437500     12.250000     14.976562     370.84s
INT_7     94.570000     94.789062     44.270000     38.632812     10.020000     9.875000     368.34s
INT_8     94.810000     94.781250     43.320000     40.656250     8.130000     7.984375     369.72s
INT_9     94.880000     94.226562     42.990000     40.382812     7.470000     7.679688     368.32s
INT_10     94.810000     94.242188     42.920000     40.664062     7.290000     7.515625     370.66s
INT_11     94.840000     94.375000     42.810000     40.773438     7.170000     7.289062     368.69s
INT_12     94.850000     94.304688     42.700000     40.703125     7.190000     7.187500     366.69s
INT_13     94.840000     94.328125     42.810000     40.648438     7.320000     7.164062     364.85s
INT_14     94.830000     94.289062     42.890000     40.648438     7.250000     7.210938     366.21s
INT_15     94.800000     94.289062     42.800000     40.640625     7.200000     7.242188     370.93s
INT_16     94.830000     94.289062     42.870000     40.562500     7.130000     7.281250     370.24s
POT_2     10.000000     9.718750     10.000000     9.718750     10.000000     9.718750     601.08s
POT_3     11.430000     10.703125     10.650000     10.195312     10.320000     10.109375     686.37s
POT_4     39.230000     24.710938     21.770000     19.046875     14.730000     17.929688     858.71s
POT_5     40.290000     29.742188     22.820000     23.421875     15.940000     21.726562     1196.08s
POT_6     24.020000     17.906250     22.950000     27.687500     16.360000     25.210938     1856.77s
POT_7     38.760000     30.343750     19.840000     15.718750     11.280000     14.492188     3214.18s
POT_8     41.310000     32.125000     23.470000     21.703125     14.200000     15.023438     5820.29s
FLOAT_3_E1     10.010000     9.718750     10.000000     9.718750     10.000000     9.718750     686.32s
FLOAT_4_E1     19.030000     14.632812     16.200000     13.937500     11.540000     11.453125     857.40s
FLOAT_4_E2     54.370000     39.140625     23.220000     24.398438     13.690000     18.921875     857.03s
FLOAT_5_E1     59.600000     45.625000     25.810000     28.820312     12.370000     15.562500     1193.96s
FLOAT_5_E2     85.590000     76.921875     35.130000     25.570312     16.800000     7.625000     1194.17s
FLOAT_5_E3     86.340000     86.984375     37.470000     42.226562     13.490000     18.960938     1194.70s
FLOAT_6_E1     76.000000     60.804688     28.930000     34.359375     12.270000     18.390625     1855.91s
FLOAT_6_E2     92.410000     90.937500     40.040000     32.726562     12.790000     12.062500     1855.39s
FLOAT_6_E3     93.250000     90.656250     42.860000     35.531250     11.750000     9.101562     1855.62s
FLOAT_6_E4     86.730000     80.906250     37.080000     40.640625     13.500000     19.031250     1855.54s
FLOAT_7_E1     78.430000     62.835938     30.440000     37.726562     11.450000     18.687500     3214.38s
FLOAT_7_E2     93.020000     92.054688     41.280000     32.671875     12.670000     9.757812     3214.59s
FLOAT_7_E3     94.450000     93.835938     43.580000     40.140625     8.820000     11.117188     3214.45s
FLOAT_7_E4     93.420000     93.171875     43.820000     37.226562     11.210000     6.117188     3214.26s
FLOAT_7_E5     88.060000     81.570312     35.870000     35.132812     13.490000     16.367188     3214.75s
FLOAT_8_E1     82.340000     69.906250     31.490000     37.898438     11.270000     18.218750     5820.11s
FLOAT_8_E2     93.760000     92.195312     41.640000     33.476562     10.810000     9.507812     5820.63s
FLOAT_8_E3     94.740000     94.265625     42.360000     40.679688     7.700000     8.460938     5820.00s
FLOAT_8_E4     94.450000     93.929688     43.420000     39.671875     8.920000     11.015625     5820.34s
FLOAT_8_E5     93.160000     90.007812     42.760000     35.765625     11.030000     5.992188     5820.05s
