ResNet_152 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.430000     99.976562     44.340000     61.812500     10.150000     14.906250     334.33s
INT_2     10.000000     9.742188     10.000000     9.742188     10.000000     9.742188     855.55s
INT_3     10.030000     10.007812     10.000000     9.546875     10.000000     9.546875     854.98s
INT_4     15.490000     19.570312     11.060000     10.593750     10.630000     10.281250     857.55s
INT_5     30.450000     49.593750     14.840000     35.265625     8.430000     22.992188     857.39s
INT_6     74.520000     96.421875     19.890000     56.500000     8.670000     26.265625     794.95s
INT_7     90.250000     99.945312     36.120000     73.140625     10.010000     27.484375     858.74s
INT_8     94.030000     99.984375     42.410000     61.140625     10.510000     16.617188     858.21s
INT_9     94.310000     99.976562     44.990000     62.085938     10.740000     14.992188     858.72s
INT_10     94.410000     99.984375     43.580000     60.695312     10.280000     14.593750     855.46s
INT_11     94.370000     99.976562     43.910000     60.718750     10.310000     14.601562     852.76s
INT_12     94.410000     99.976562     44.170000     61.359375     10.270000     14.859375     859.22s
INT_13     94.450000     99.976562     44.280000     61.726562     10.220000     14.859375     851.80s
INT_14     94.430000     99.976562     44.300000     61.828125     10.200000     14.843750     851.35s
INT_15     94.420000     99.976562     44.470000     61.757812     10.180000     14.898438     852.51s
INT_16     94.430000     99.976562     44.290000     61.812500     10.300000     14.820312     708.86s
POT_2     10.000000     9.742188     10.000000     9.742188     10.000000     9.742188     1213.34s
POT_3     10.010000     9.703125     10.000000     9.539062     10.000000     9.468750     1376.82s
POT_4     44.480000     70.789062     18.810000     19.031250     15.130000     14.703125     1777.25s
POT_5     43.300000     71.757812     18.080000     18.648438     13.710000     13.773438     2583.99s
POT_6     39.560000     64.406250     18.670000     13.906250     13.510000     10.570312     4180.37s
POT_7     34.210000     66.468750     17.560000     18.710938     12.660000     12.937500     7461.56s
POT_8     39.230000     66.093750     17.320000     13.789062     13.110000     11.234375     13860.59s
FLOAT_3_E1     9.970000     17.218750     10.000000     9.789062     10.000000     9.796875     1371.40s
FLOAT_4_E1     18.780000     29.937500     14.600000     17.664062     11.750000     16.234375     1760.54s
FLOAT_4_E2     19.630000     30.039062     13.890000     11.000000     12.330000     8.875000     1761.26s
FLOAT_5_E1     60.340000     94.062500     16.940000     51.765625     10.390000     31.851562     2568.00s
FLOAT_5_E2     73.280000     99.125000     27.390000     40.296875     15.950000     20.078125     2568.36s
FLOAT_5_E3     84.320000     99.601562     30.030000     63.007812     13.070000     33.390625     2569.40s
FLOAT_6_E1     87.500000     99.890625     37.660000     61.945312     15.840000     36.546875     4147.24s
FLOAT_6_E2     82.970000     99.289062     34.830000     34.484375     15.750000     15.265625     4150.12s
FLOAT_6_E3     91.090000     99.960938     36.510000     55.265625     12.190000     17.703125     4160.50s
