VGG_16 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      93.140000     92.148438     53.180000     39.937500     18.710000     18.421875     40.40s
INT_2     10.000000     9.968750     10.000000     9.968750     10.000000     9.968750     85.22s
INT_3     10.020000     10.210938     10.000000     9.968750     10.000000     9.968750     85.17s
INT_4     29.300000     12.359375     11.290000     13.562500     9.750000     12.578125     85.99s
INT_5     88.550000     61.578125     35.920000     36.968750     17.720000     27.390625     85.18s
INT_6     92.310000     89.257812     51.690000     44.187500     21.580000     26.281250     85.68s
INT_7     92.980000     90.554688     52.720000     42.476562     20.460000     22.765625     86.94s
INT_8     93.130000     92.031250     53.460000     39.718750     19.610000     19.421875     84.89s
INT_9     93.080000     92.187500     53.110000     40.414062     19.140000     19.109375     84.99s
INT_10     93.140000     92.132812     53.380000     39.804688     19.030000     18.640625     86.32s
INT_11     93.120000     92.132812     53.230000     39.882812     18.810000     18.429688     85.85s
INT_12     93.160000     92.187500     53.130000     39.953125     18.750000     18.468750     84.90s
INT_13     93.170000     92.179688     53.140000     39.914062     18.880000     18.476562     86.70s
INT_14     93.150000     92.187500     53.110000     39.914062     18.770000     18.453125     85.98s
INT_15     93.140000     92.164062     53.170000     39.937500     18.760000     18.414062     85.75s
INT_16     93.140000     92.140625     53.190000     39.960938     18.660000     18.375000     84.25s
POT_2     10.000000     9.968750     10.000000     9.968750     10.000000     9.968750     107.68s
POT_3     10.450000     10.906250     10.180000     11.460938     9.870000     11.000000     118.04s
POT_4     79.980000     46.898438     43.800000     24.179688     20.140000     18.531250     140.94s
POT_5     79.780000     46.187500     43.510000     24.078125     20.290000     18.460938     189.90s
POT_6     80.060000     46.179688     42.970000     23.937500     20.330000     18.179688     283.56s
POT_7     79.890000     47.187500     43.250000     24.015625     20.450000     18.421875     475.26s
POT_8     79.900000     47.148438     43.580000     23.726562     20.330000     17.984375     845.04s
FLOAT_3_E1     10.130000     9.968750     9.990000     9.960938     9.960000     9.968750     117.15s
FLOAT_4_E1     80.220000     33.164062     34.780000     26.976562     18.170000     20.851562     140.87s
FLOAT_4_E2     72.180000     68.367188     36.980000     31.476562     21.300000     24.679688     140.88s
FLOAT_5_E1     87.580000     52.515625     44.400000     29.375000     20.150000     19.890625     189.05s
FLOAT_5_E2     90.320000     85.429688     48.420000     34.429688     21.120000     22.148438     191.25s
FLOAT_5_E3     89.790000     81.398438     51.430000     32.687500     21.440000     20.046875     189.83s
FLOAT_6_E1     90.310000     63.398438     49.320000     32.281250     20.960000     20.328125     282.66s
FLOAT_6_E2     91.670000     89.578125     50.730000     35.695312     19.960000     21.484375     282.70s
FLOAT_6_E3     92.800000     91.414062     53.060000     38.781250     20.250000     19.179688     283.64s
FLOAT_6_E4     89.540000     81.109375     51.390000     32.625000     21.560000     19.757812     282.59s
FLOAT_7_E1     90.740000     70.695312     49.500000     31.687500     19.960000     19.414062     474.01s
FLOAT_7_E2     92.000000     89.859375     51.110000     36.656250     19.480000     20.906250     474.65s
FLOAT_7_E3     93.010000     91.695312     53.120000     39.898438     19.030000     19.390625     475.17s
FLOAT_7_E4     92.650000     91.515625     53.160000     38.789062     20.240000     19.023438     475.34s
FLOAT_7_E5     89.570000     81.000000     51.330000     32.164062     21.710000     19.953125     475.29s
FLOAT_8_E1     91.060000     73.039062     49.370000     31.757812     19.470000     19.171875     845.01s
FLOAT_8_E2     92.060000     89.773438     51.820000     37.296875     19.160000     20.804688     845.21s
FLOAT_8_E3     93.190000     92.273438     53.130000     39.250000     19.000000     18.718750     846.00s
FLOAT_8_E4     92.970000     91.703125     53.020000     39.617188     19.210000     19.367188     845.24s
FLOAT_8_E5     92.760000     91.421875     53.180000     38.562500     20.340000     19.109375     844.73s
FLOAT_8_E6     89.740000     81.039062     51.300000     32.406250     21.680000     19.945312     845.15s
