VGG_19 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      93.030000     99.992188     50.580000     79.296875     16.860000     21.828125     32.36s
INT_2     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     77.36s
INT_3     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     85.24s
INT_4     17.340000     20.234375     11.270000     12.906250     10.000000     11.554688     84.62s
INT_5     88.200000     98.507812     32.170000     68.148438     14.600000     36.601562     84.52s
INT_6     92.270000     99.945312     49.500000     82.343750     19.530000     38.179688     64.65s
INT_7     92.800000     99.984375     50.000000     81.156250     18.940000     31.179688     84.94s
INT_8     92.980000     99.976562     50.800000     80.273438     18.110000     25.210938     86.24s
INT_9     93.040000     99.992188     50.600000     79.875000     17.210000     22.812500     84.63s
INT_10     93.050000     99.992188     50.700000     79.328125     16.900000     22.398438     86.87s
INT_11     93.000000     99.992188     50.610000     79.164062     16.980000     22.046875     68.11s
INT_12     93.030000     99.992188     50.660000     79.304688     16.860000     22.054688     63.46s
INT_13     93.020000     99.992188     50.600000     79.265625     16.830000     21.906250     63.65s
INT_14     93.020000     99.992188     50.610000     79.242188     16.830000     21.804688     87.17s
INT_15     93.030000     99.992188     50.510000     79.242188     16.870000     21.890625     86.65s
INT_16     93.020000     99.992188     50.600000     79.304688     16.860000     21.828125     86.33s
POT_2     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     100.01s
POT_3     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     104.05s
POT_4     71.750000     90.226562     37.850000     30.851562     18.900000     15.140625     121.82s
POT_5     71.750000     90.367188     37.060000     29.031250     18.130000     14.335938     163.50s
POT_6     71.900000     90.265625     37.240000     29.562500     18.430000     14.367188     246.52s
POT_7     71.420000     90.070312     37.400000     29.625000     18.270000     14.375000     415.18s
POT_8     71.330000     90.187500     36.960000     29.406250     18.180000     14.320312     751.17s
FLOAT_3_E1     10.000000     10.117188     10.020000     10.101562     10.040000     10.109375     105.00s
FLOAT_4_E1     77.180000     86.179688     26.660000     44.015625     15.650000     25.382812     124.71s
FLOAT_4_E2     71.290000     93.984375     27.770000     37.125000     18.910000     23.953125     122.54s
FLOAT_5_E1     86.940000     98.000000     42.960000     50.976562     19.940000     22.664062     163.95s
FLOAT_5_E2     88.600000     99.742188     44.310000     53.609375     21.440000     22.585938     163.59s
FLOAT_5_E3     90.470000     99.875000     47.940000     68.703125     19.820000     25.304688     163.11s
FLOAT_6_E1     88.850000     98.960938     43.630000     50.710938     18.710000     20.445312     244.31s
FLOAT_6_E2     91.160000     99.945312     48.690000     66.953125     20.480000     23.187500     243.70s
FLOAT_6_E3     92.440000     99.984375     50.520000     74.906250     18.550000     23.742188     244.99s
FLOAT_6_E4     90.540000     99.843750     48.110000     67.937500     19.800000     25.335938     245.03s
FLOAT_7_E1     89.910000     99.484375     44.570000     51.187500     17.960000     18.617188     411.07s
FLOAT_7_E2     91.930000     99.953125     49.520000     73.554688     19.240000     24.062500     413.48s
FLOAT_7_E3     92.920000     99.984375     50.550000     77.000000     17.700000     23.125000     413.04s
FLOAT_7_E4     92.700000     99.984375     50.650000     74.515625     18.440000     23.460938     412.23s
FLOAT_7_E5     90.580000     99.882812     47.970000     68.007812     19.890000     25.046875     414.15s
FLOAT_8_E1     90.100000     99.484375     44.790000     51.000000     17.400000     18.195312     746.56s
FLOAT_8_E2     92.040000     99.984375     49.740000     72.234375     18.840000     22.367188     746.94s
FLOAT_8_E3     93.090000     99.992188     50.470000     79.890625     17.300000     22.671875     746.83s
FLOAT_8_E4     92.920000     99.976562     50.510000     76.968750     17.860000     22.968750     749.22s
FLOAT_8_E5     92.620000     99.984375     50.500000     74.484375     18.590000     23.414062     749.64s
FLOAT_8_E6     90.770000     99.875000     48.120000     68.195312     19.850000     25.460938     747.53s
