AlexNet cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      63.440000     99.679688     21.870000     57.429688     7.740000     19.351562     12.58s
INT_2     1.000000     0.859375     1.000000     0.859375     1.000000     0.859375     28.85s
INT_3     0.990000     1.062500     1.000000     0.859375     1.000000     0.859375     27.61s
INT_4     15.960000     26.148438     3.330000     8.265625     2.910000     6.679688     24.44s
INT_5     46.760000     89.617188     14.060000     23.664062     11.200000     18.414062     25.88s
INT_6     58.120000     98.632812     19.480000     45.015625     14.120000     32.265625     27.52s
INT_7     61.680000     99.507812     21.260000     53.867188     11.640000     30.320312     28.27s
INT_8     62.860000     99.726562     21.950000     56.140625     9.720000     24.546875     20.89s
INT_9     63.160000     99.640625     21.930000     57.085938     8.630000     21.539062     22.21s
INT_10     63.360000     99.664062     21.990000     57.429688     8.070000     20.054688     28.54s
INT_11     63.360000     99.671875     22.030000     57.351562     7.900000     19.648438     27.91s
INT_12     63.380000     99.671875     21.890000     57.539062     7.810000     19.312500     26.19s
INT_13     63.440000     99.671875     21.950000     57.445312     7.710000     19.343750     29.04s
INT_14     63.430000     99.679688     21.910000     57.476562     7.770000     19.312500     29.82s
INT_15     63.450000     99.679688     21.910000     57.492188     7.720000     19.304688     29.11s
INT_16     63.440000     99.679688     21.970000     57.445312     7.710000     19.273438     24.32s
POT_2     1.000000     0.859375     1.000000     0.859375     1.000000     0.859375     34.42s
POT_3     1.330000     2.117188     1.060000     0.875000     1.030000     0.867188     34.57s
POT_4     24.460000     38.187500     6.940000     11.945312     4.380000     7.734375     33.99s
POT_5     25.240000     38.890625     7.220000     12.875000     4.200000     7.742188     45.53s
POT_6     24.910000     39.171875     7.240000     12.843750     4.030000     7.835938     59.74s
POT_7     24.810000     37.742188     7.310000     13.367188     4.060000     7.242188     94.08s
POT_8     25.050000     38.195312     7.110000     12.773438     4.080000     7.742188     161.17s
FLOAT_3_E1     1.960000     3.140625     1.510000     1.679688     1.250000     1.445312     32.48s
FLOAT_4_E1     15.090000     20.625000     7.600000     6.429688     5.800000     5.335938     35.75s
FLOAT_4_E2     18.310000     41.820312     4.880000     3.914062     3.720000     3.250000     34.44s
FLOAT_5_E1     38.590000     72.437500     14.180000     21.335938     9.680000     12.312500     41.59s
FLOAT_5_E2     44.250000     91.007812     13.030000     21.359375     8.810000     13.914062     41.66s
FLOAT_5_E3     50.410000     91.867188     17.620000     40.796875     8.870000     19.554688     41.67s
FLOAT_6_E1     48.020000     82.242188     16.960000     24.210938     9.230000     8.945312     57.80s
FLOAT_6_E2     55.150000     97.554688     17.000000     35.171875     8.640000     17.812500     57.71s
FLOAT_6_E3     59.950000     98.632812     21.140000     51.867188     9.100000     21.304688     57.91s
FLOAT_6_E4     49.880000     92.023438     17.500000     40.835938     8.800000     19.265625     57.87s
FLOAT_7_E1     51.440000     89.195312     18.100000     30.679688     8.530000     10.000000     93.10s
FLOAT_7_E2     58.410000     98.640625     18.070000     40.414062     8.350000     17.898438     93.81s
FLOAT_7_E3     62.230000     99.445312     21.640000     54.812500     8.590000     19.812500     92.03s
FLOAT_7_E4     60.140000     98.578125     20.840000     51.695312     8.790000     21.164062     94.07s
FLOAT_7_E5     50.190000     92.085938     17.640000     41.007812     8.620000     19.125000     93.75s
FLOAT_8_E1     53.620000     91.015625     18.730000     34.132812     7.990000     10.437500     159.42s
FLOAT_8_E2     58.660000     98.812500     18.520000     41.835938     8.130000     17.164062     160.69s
FLOAT_8_E3     62.860000     99.578125     21.970000     56.968750     8.070000     19.562500     160.85s
FLOAT_8_E4     62.490000     99.382812     22.050000     54.953125     8.460000     19.765625     161.68s
FLOAT_8_E5     60.040000     98.656250     20.900000     52.335938     9.080000     21.562500     160.62s
FLOAT_8_E6     50.440000     91.531250     17.570000     40.453125     8.590000     19.289062     159.71s
