Inception_BN cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      77.980000     100.000000     18.820000     50.742188     3.160000     5.734375     158.41s
INT_2     1.000000     1.039062     1.000000     1.039062     1.000000     1.039062     325.41s
INT_3     0.960000     1.093750     0.910000     1.046875     0.950000     1.085938     326.94s
INT_4     5.810000     14.421875     2.290000     3.671875     1.600000     2.703125     328.17s
INT_5     58.690000     97.671875     15.120000     32.992188     6.730000     13.148438     276.80s
INT_6     74.310000     100.000000     19.440000     51.476562     5.100000     13.531250     327.44s
INT_7     77.390000     100.000000     18.800000     49.328125     3.930000     7.296875     318.29s
INT_8     77.710000     100.000000     19.050000     50.648438     3.510000     6.945312     326.46s
INT_9     77.970000     100.000000     19.010000     50.820312     3.290000     6.226562     326.54s
INT_10     77.990000     100.000000     18.820000     50.812500     3.280000     5.742188     326.74s
INT_11     78.000000     100.000000     19.040000     50.890625     3.160000     5.765625     326.96s
INT_12     77.970000     100.000000     18.950000     50.937500     3.150000     5.671875     314.52s
INT_13     77.980000     100.000000     18.870000     50.851562     3.100000     5.671875     326.49s
INT_14     77.960000     100.000000     18.860000     50.820312     3.050000     5.679688     312.38s
INT_15     77.970000     100.000000     18.890000     50.875000     3.100000     5.617188     326.84s
INT_16     77.970000     100.000000     18.830000     50.820312     3.140000     5.742188     327.69s
POT_2     1.000000     1.039062     1.000000     1.039062     1.000000     1.039062     436.23s
POT_3     1.150000     1.210938     1.110000     1.164062     1.060000     1.015625     500.70s
POT_4     3.900000     1.609375     2.190000     1.085938     1.750000     1.000000     638.38s
POT_5     5.540000     4.796875     2.900000     1.007812     1.200000     0.945312     903.21s
POT_6     5.910000     4.218750     2.310000     1.585938     1.060000     1.234375     1416.19s
POT_7     2.610000     1.507812     1.680000     0.984375     1.010000     1.000000     2475.07s
