MobileNetV2 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      66.770000     100.000000     17.360000     35.632812     2.970000     1.406250     58.76s
INT_2     1.000000     1.070312     1.000000     1.070312     1.000000     1.070312     218.32s
INT_3     1.000000     0.914062     1.000000     0.914062     1.000000     0.914062     218.50s
INT_4     0.900000     0.960938     1.140000     0.867188     0.940000     1.156250     220.03s
INT_5     7.530000     11.484375     2.470000     2.265625     1.990000     1.781250     206.20s
INT_6     35.120000     94.890625     12.090000     21.632812     6.500000     11.335938     218.84s
INT_7     56.420000     99.914062     14.640000     33.242188     5.120000     7.539062     139.01s
INT_8     62.870000     100.000000     17.690000     38.664062     4.080000     4.835938     220.28s
INT_9     66.250000     100.000000     17.560000     36.781250     3.490000     2.218750     169.83s
INT_10     66.810000     100.000000     17.510000     36.125000     3.100000     1.617188     140.70s
INT_11     66.880000     100.000000     17.260000     35.921875     3.100000     1.468750     217.09s
INT_12     66.740000     100.000000     17.450000     35.648438     2.970000     1.437500     218.18s
INT_13     66.780000     100.000000     17.250000     35.703125     2.960000     1.320312     216.93s
INT_14     66.760000     100.000000     17.340000     35.828125     3.000000     1.343750     219.67s
INT_15     66.820000     100.000000     17.250000     35.742188     2.960000     1.328125     217.02s
INT_16     66.760000     100.000000     17.310000     35.687500     2.970000     1.296875     216.79s
POT_2     1.000000     1.070312     1.000000     1.070312     1.000000     1.070312     251.43s
POT_3     0.950000     0.421875     1.010000     0.914062     1.000000     0.906250     244.31s
POT_4     2.200000     1.718750     0.950000     1.085938     0.980000     1.062500     256.77s
POT_5     1.880000     2.046875     0.990000     0.875000     1.000000     0.828125     317.75s
POT_6     1.410000     1.531250     1.050000     1.085938     1.010000     1.054688     435.44s
POT_7     2.310000     2.460938     1.040000     1.242188     1.010000     1.046875     684.54s
POT_8     1.740000     2.242188     1.240000     1.187500     1.080000     1.039062     1177.58s
FLOAT_3_E1     1.030000     0.875000     1.060000     1.054688     0.970000     1.039062     228.75s
FLOAT_4_E1     1.010000     1.117188     0.990000     1.023438     0.930000     1.039062     236.63s
FLOAT_4_E2     1.700000     1.562500     1.090000     1.171875     1.030000     1.007812     239.24s
FLOAT_5_E1     2.120000     2.031250     1.030000     1.054688     0.960000     1.039062     296.44s
FLOAT_5_E2     12.560000     21.859375     3.000000     2.343750     2.360000     1.390625     296.12s
FLOAT_5_E3     12.890000     21.960938     3.590000     3.398438     2.220000     2.414062     295.71s
FLOAT_6_E1     3.750000     3.476562     1.310000     2.085938     1.020000     1.289062     414.50s
FLOAT_6_E2     22.200000     67.679688     5.850000     3.828125     3.920000     1.656250     414.86s
FLOAT_6_E3     39.070000     94.476562     10.390000     16.968750     3.860000     4.085938     414.97s
FLOAT_6_E4     13.140000     20.867188     3.770000     3.304688     2.720000     2.148438     414.72s
FLOAT_7_E1     4.530000     4.671875     1.140000     2.039062     0.970000     1.070312     662.74s
FLOAT_7_E2     37.490000     90.476562     8.270000     9.859375     4.700000     4.000000     689.42s
FLOAT_7_E3     58.070000     99.945312     18.380000     33.781250     5.000000     4.656250     688.78s
FLOAT_7_E4     37.710000     95.085938     11.280000     17.203125     4.030000     4.296875     664.14s
FLOAT_7_E5     12.800000     23.671875     3.460000     3.585938     2.250000     2.328125     663.73s
FLOAT_8_E1     5.410000     6.359375     1.010000     1.210938     0.990000     1.070312     1180.47s
FLOAT_8_E2     43.080000     96.976562     10.120000     10.882812     5.000000     3.820312     1183.19s
FLOAT_8_E3     64.170000     99.992188     17.550000     38.617188     3.660000     2.843750     1186.50s
FLOAT_8_E4     57.540000     99.851562     18.030000     35.585938     4.820000     4.968750     1185.50s
FLOAT_8_E5     38.120000     94.929688     10.780000     17.835938     3.870000     3.914062     1186.81s
FLOAT_8_E6     12.540000     18.289062     3.000000     3.203125     2.470000     2.695312     1186.15s
