MobileNetV2 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      66.770000     64.289062     17.360000     28.289062     2.960000     2.593750     56.25s
INT_2     1.000000     1.062500     1.000000     1.062500     1.000000     1.062500     217.93s
INT_3     1.000000     1.000000     1.000000     1.046875     1.000000     1.046875     220.51s
INT_4     0.900000     1.242188     1.160000     0.914062     1.100000     0.859375     217.43s
INT_5     7.530000     2.851562     3.060000     2.242188     2.610000     2.359375     219.79s
INT_6     35.120000     37.304688     10.920000     19.132812     5.580000     11.421875     222.35s
INT_7     56.420000     57.671875     16.570000     28.828125     5.370000     11.250000     218.43s
INT_8     62.870000     62.210938     16.680000     29.531250     3.960000     7.281250     218.33s
INT_9     66.250000     63.554688     17.770000     26.609375     3.360000     2.726562     219.42s
INT_10     66.810000     63.429688     17.350000     27.093750     3.150000     3.093750     219.85s
INT_11     66.880000     64.273438     17.460000     28.757812     3.110000     3.492188     137.04s
INT_12     66.740000     64.367188     17.220000     28.257812     2.970000     2.632812     221.04s
INT_13     66.780000     64.382812     17.370000     28.179688     2.980000     2.734375     219.47s
INT_14     66.760000     64.242188     17.310000     28.343750     2.990000     2.609375     221.43s
INT_15     66.820000     64.312500     17.370000     28.242188     3.010000     2.601562     219.59s
INT_16     66.760000     64.312500     17.300000     28.250000     2.980000     2.531250     217.29s
POT_2     1.000000     1.062500     1.000000     1.062500     1.000000     1.062500     250.59s
POT_3     0.950000     0.695312     1.000000     1.054688     1.000000     1.046875     235.17s
POT_4     2.200000     2.843750     1.230000     1.109375     1.210000     0.992188     240.91s
POT_5     1.880000     2.421875     1.190000     1.718750     1.100000     1.882812     316.71s
POT_6     1.410000     2.476562     1.190000     1.125000     1.130000     0.976562     435.12s
POT_7     2.310000     2.570312     1.310000     1.398438     1.190000     0.968750     689.27s
POT_8     1.740000     2.296875     1.330000     1.062500     0.960000     0.906250     1182.93s
FLOAT_3_E1     1.030000     0.968750     1.000000     1.132812     0.890000     1.070312     245.03s
FLOAT_4_E1     1.010000     1.054688     1.130000     1.125000     1.140000     0.992188     258.91s
FLOAT_4_E2     1.700000     1.296875     1.410000     0.992188     1.230000     1.023438     260.43s
FLOAT_5_E1     2.120000     1.390625     1.610000     1.742188     1.390000     1.429688     298.65s
FLOAT_5_E2     12.560000     5.320312     3.360000     4.195312     2.620000     3.328125     307.02s
FLOAT_5_E3     12.890000     13.148438     7.390000     8.687500     4.820000     7.609375     316.26s
FLOAT_6_E1     3.750000     1.492188     2.550000     1.335938     1.980000     0.984375     435.04s
FLOAT_6_E2     22.200000     11.593750     6.760000     7.992188     4.550000     6.507812     435.66s
FLOAT_6_E3     39.070000     26.984375     11.500000     13.828125     4.100000     9.507812     435.24s
FLOAT_6_E4     13.140000     13.203125     5.350000     5.781250     3.310000     4.710938     433.17s
FLOAT_7_E1     4.530000     1.820312     2.570000     1.289062     2.000000     0.843750     663.61s
FLOAT_7_E2     37.490000     14.390625     8.700000     16.531250     5.080000     11.796875     663.73s
FLOAT_7_E3     58.070000     57.101562     18.160000     33.187500     4.870000     15.804688     664.12s
FLOAT_7_E4     37.710000     25.695312     11.520000     15.789062     4.300000     11.976562     683.74s
FLOAT_7_E5     12.800000     16.789062     5.770000     4.687500     3.660000     3.726562     684.77s
FLOAT_8_E1     5.410000     2.679688     3.030000     1.648438     1.810000     0.765625     1181.57s
FLOAT_8_E2     43.080000     31.320312     9.980000     15.335938     5.040000     9.960938     1182.79s
FLOAT_8_E3     64.170000     63.476562     16.500000     27.671875     3.590000     9.437500     1178.53s
FLOAT_8_E4     57.540000     55.882812     17.420000     34.515625     5.010000     20.187500     1179.99s
FLOAT_8_E5     38.120000     24.945312     9.780000     10.398438     3.610000     6.625000     1159.81s
FLOAT_8_E6     12.540000     12.687500     4.350000     2.656250     2.870000     2.414062     1178.40s
