ResNet_50 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      77.220000     99.132812     21.780000     31.367188     4.670000     6.640625     136.84s
INT_2     1.000000     0.937500     1.000000     0.937500     1.000000     0.937500     303.64s
INT_3     0.920000     1.054688     1.010000     0.937500     1.000000     0.929688     303.65s
INT_4     2.420000     2.031250     1.450000     1.476562     1.350000     1.664062     301.80s
INT_5     48.050000     43.640625     10.050000     10.281250     6.550000     7.070312     303.93s
INT_6     73.510000     94.148438     20.730000     26.085938     9.050000     11.390625     305.02s
INT_7     76.470000     98.328125     21.960000     31.796875     6.360000     10.234375     323.21s
INT_8     77.070000     99.000000     22.140000     32.585938     5.850000     8.390625     302.66s
INT_9     77.050000     99.210938     21.200000     30.726562     4.850000     6.929688     302.51s
INT_10     77.220000     99.179688     21.770000     31.453125     4.650000     6.789062     302.09s
INT_11     77.310000     99.187500     21.550000     31.273438     4.690000     6.734375     301.55s
INT_12     77.310000     99.171875     21.530000     31.203125     4.600000     6.601562     302.14s
INT_13     77.240000     99.148438     21.770000     31.359375     4.590000     6.617188     301.25s
INT_14     77.200000     99.156250     21.660000     31.390625     4.560000     6.601562     301.95s
INT_15     77.270000     99.156250     21.760000     31.382812     4.610000     6.640625     301.44s
INT_16     77.280000     99.156250     21.760000     31.437500     4.600000     6.687500     303.16s
POT_2     1.000000     0.937500     1.000000     0.937500     1.000000     0.937500     482.86s
POT_3     1.140000     0.500000     0.970000     0.820312     0.910000     0.804688     569.16s
POT_4     8.170000     8.835938     2.390000     2.539062     1.840000     1.867188     755.91s
POT_5     10.740000     9.390625     3.180000     3.500000     2.290000     2.820312     1132.30s
POT_6     9.270000     9.546875     3.880000     4.171875     2.660000     2.765625     1867.75s
POT_7     9.590000     8.953125     2.890000     3.562500     2.140000     2.671875     3361.40s
POT_8     10.090000     8.140625     3.150000     3.843750     2.290000     3.203125     6302.82s
FLOAT_3_E1     1.100000     0.281250     0.940000     0.531250     0.790000     0.664062     569.40s
FLOAT_4_E1     4.000000     3.437500     2.120000     1.562500     1.720000     1.554688     755.81s
FLOAT_4_E2     4.390000     4.648438     1.260000     1.500000     1.220000     1.296875     755.53s
FLOAT_5_E1     39.440000     30.390625     6.530000     5.750000     4.380000     3.500000     1127.41s
FLOAT_5_E2     45.730000     27.015625     6.440000     6.593750     4.020000     3.898438     1129.92s
FLOAT_5_E3     60.730000     64.671875     17.000000     20.867188     7.690000     9.062500     1130.52s
FLOAT_6_E1     60.710000     52.656250     12.840000     14.976562     6.310000     7.210938     1855.33s
FLOAT_6_E2     66.960000     72.148438     14.620000     17.562500     5.940000     7.554688     1857.89s
FLOAT_6_E3     72.560000     95.757812     22.420000     30.859375     7.790000     10.335938     1864.54s
FLOAT_6_E4     59.760000     67.070312     17.480000     22.093750     7.590000     10.125000     1866.11s
FLOAT_7_E1     63.380000     60.484375     13.910000     17.164062     6.240000     6.875000     3340.88s
FLOAT_7_E2     70.830000     88.687500     15.820000     20.070312     5.310000     7.851562     3347.68s
FLOAT_7_E3     75.770000     98.539062     22.020000     32.515625     6.150000     8.898438     3357.02s
FLOAT_7_E4     72.950000     95.960938     22.150000     30.312500     7.720000     10.164062     3361.56s
FLOAT_7_E5     60.230000     69.492188     15.980000     17.250000     8.280000     9.531250     3356.06s
FLOAT_8_E1     64.680000     63.632812     14.060000     20.242188     6.160000     7.812500     6270.18s
FLOAT_8_E2     72.490000     91.929688     16.360000     22.257812     5.140000     7.773438     6275.41s
FLOAT_8_E3     76.940000     98.992188     21.400000     31.507812     5.370000     7.562500     6290.97s
FLOAT_8_E4     76.020000     98.617188     22.130000     32.976562     6.240000     9.421875     6365.28s
FLOAT_8_E5     72.550000     96.226562     22.810000     31.570312     7.820000     10.718750     6367.75s
FLOAT_8_E6     57.690000     65.460938     17.750000     22.460938     7.850000     10.148438     6369.97s
