AlexNet cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      63.450000     99.945312     21.860000     66.210938     7.770000     27.406250     12.27s
INT_2     1.000000     0.851562     1.000000     0.851562     1.000000     0.851562     26.09s
INT_3     0.990000     0.875000     1.000000     0.851562     1.000000     0.851562     25.51s
INT_4     15.970000     26.914062     2.270000     5.226562     2.010000     4.445312     25.78s
INT_5     46.720000     92.828125     13.120000     22.859375     10.730000     18.429688     26.86s
INT_6     58.070000     99.609375     20.240000     50.281250     14.080000     38.507812     26.59s
INT_7     61.670000     99.906250     21.460000     60.078125     12.010000     37.750000     23.32s
INT_8     62.890000     99.929688     22.090000     65.281250     9.910000     34.468750     25.05s
INT_9     63.180000     99.945312     22.290000     65.703125     8.690000     30.226562     25.91s
INT_10     63.330000     99.945312     22.000000     66.023438     8.160000     28.460938     23.97s
INT_11     63.310000     99.945312     22.100000     66.281250     7.850000     27.812500     22.86s
INT_12     63.400000     99.945312     21.920000     66.320312     7.780000     27.421875     26.03s
INT_13     63.460000     99.945312     21.890000     66.257812     7.750000     27.343750     27.17s
INT_14     63.420000     99.945312     21.890000     66.289062     7.790000     27.406250     25.76s
INT_15     63.440000     99.945312     21.940000     66.171875     7.740000     27.257812     28.05s
INT_16     63.440000     99.945312     21.980000     66.281250     7.760000     27.265625     25.70s
POT_2     1.000000     0.851562     1.000000     0.851562     1.000000     0.851562     34.37s
POT_3     1.330000     0.937500     1.000000     0.851562     1.000000     0.851562     33.10s
POT_4     24.470000     41.289062     7.430000     16.500000     4.990000     12.554688     36.69s
POT_5     25.270000     42.375000     7.760000     17.554688     4.150000     12.476562     43.05s
POT_6     24.940000     42.281250     7.360000     17.468750     4.220000     12.234375     60.00s
POT_7     24.790000     41.820312     7.580000     18.164062     4.060000     12.796875     93.74s
POT_8     25.060000     41.437500     7.210000     18.054688     4.280000     12.617188     160.86s
FLOAT_3_E1     1.930000     2.304688     1.440000     1.820312     1.260000     1.617188     32.22s
FLOAT_4_E1     15.120000     25.031250     7.050000     7.218750     5.240000     5.789062     36.64s
FLOAT_4_E2     18.330000     34.695312     5.740000     6.476562     4.730000     5.937500     35.29s
FLOAT_5_E1     38.560000     79.453125     14.710000     24.468750     10.340000     16.992188     44.30s
FLOAT_5_E2     44.220000     93.125000     14.580000     28.460938     10.160000     20.312500     43.24s
FLOAT_5_E3     50.550000     93.546875     16.390000     36.960938     8.120000     20.351562     43.29s
FLOAT_6_E1     47.990000     87.773438     16.470000     29.765625     9.370000     15.773438     59.58s
FLOAT_6_E2     55.120000     99.468750     17.160000     44.804688     9.420000     25.640625     60.68s
FLOAT_6_E3     59.990000     99.750000     21.540000     60.570312     9.420000     28.335938     59.20s
FLOAT_6_E4     49.970000     93.640625     16.600000     37.203125     8.050000     20.000000     60.02s
FLOAT_7_E1     51.540000     92.757812     17.860000     39.539062     8.510000     17.359375     93.95s
FLOAT_7_E2     58.320000     99.859375     18.170000     51.078125     8.430000     26.671875     93.07s
FLOAT_7_E3     62.260000     99.914062     21.910000     63.078125     8.440000     26.882812     93.84s
FLOAT_7_E4     60.040000     99.773438     21.320000     60.859375     9.240000     28.210938     94.14s
FLOAT_7_E5     50.240000     93.640625     16.580000     37.109375     8.030000     19.828125     93.02s
FLOAT_8_E1     53.610000     92.765625     18.240000     43.117188     7.660000     18.023438     160.95s
FLOAT_8_E2     58.720000     99.851562     18.200000     52.929688     8.290000     27.609375     160.38s
FLOAT_8_E3     62.820000     99.937500     22.070000     67.140625     8.160000     28.867188     160.66s
FLOAT_8_E4     62.420000     99.906250     21.750000     62.906250     8.420000     26.601562     160.51s
FLOAT_8_E5     60.120000     99.781250     21.140000     61.679688     9.260000     28.468750     161.37s
FLOAT_8_E6     50.310000     93.375000     16.300000     36.640625     7.850000     19.632812     161.20s
