AlexNet cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      63.440000     40.640625     21.870000     24.437500     7.720000     7.750000     10.40s
INT_2     1.000000     1.031250     1.000000     1.031250     1.000000     1.031250     27.93s
INT_3     0.990000     1.359375     1.000000     1.031250     1.000000     1.031250     28.42s
INT_4     15.960000     6.398438     3.190000     3.492188     2.510000     2.867188     25.97s
INT_5     46.760000     18.492188     14.760000     9.968750     11.850000     8.093750     24.20s
INT_6     58.120000     30.093750     20.090000     16.859375     14.060000     12.265625     27.94s
INT_7     61.680000     38.125000     21.950000     22.531250     11.510000     12.273438     27.70s
INT_8     62.860000     40.031250     21.980000     24.000000     9.650000     10.015625     27.06s
INT_9     63.160000     40.546875     22.110000     24.062500     8.480000     8.578125     22.35s
INT_10     63.360000     40.757812     22.030000     24.242188     8.070000     8.148438     28.25s
INT_11     63.360000     40.625000     22.040000     24.406250     7.890000     7.875000     24.18s
INT_12     63.380000     40.671875     21.960000     24.445312     7.780000     7.703125     25.65s
INT_13     63.440000     40.710938     21.900000     24.343750     7.780000     7.703125     26.41s
INT_14     63.430000     40.664062     21.900000     24.359375     7.750000     7.765625     28.50s
INT_15     63.450000     40.656250     21.910000     24.414062     7.770000     7.695312     29.40s
INT_16     63.440000     40.656250     21.920000     24.406250     7.700000     7.718750     28.96s
POT_2     1.000000     1.031250     1.000000     1.031250     1.000000     1.031250     34.26s
POT_3     1.330000     1.195312     1.020000     1.031250     1.030000     1.031250     32.69s
POT_4     24.460000     9.398438     6.620000     6.632812     4.390000     4.710938     34.70s
POT_5     25.240000     10.554688     7.100000     6.500000     4.050000     4.710938     42.45s
POT_6     24.910000     10.031250     7.150000     6.601562     4.140000     4.476562     60.39s
POT_7     24.810000     9.890625     6.970000     6.875000     4.010000     4.710938     92.57s
POT_8     25.050000     10.539062     7.430000     6.320312     4.310000     4.734375     162.23s
FLOAT_3_E1     1.960000     1.351562     1.390000     1.648438     1.220000     1.664062     33.76s
FLOAT_4_E1     15.090000     4.226562     7.150000     3.039062     5.430000     2.765625     35.21s
FLOAT_4_E2     18.310000     4.492188     4.130000     3.125000     3.650000     2.937500     35.69s
FLOAT_5_E1     38.590000     14.789062     15.370000     7.773438     9.790000     5.179688     44.28s
FLOAT_5_E2     44.250000     16.828125     13.450000     9.695312     8.910000     7.000000     44.45s
FLOAT_5_E3     50.410000     23.187500     16.520000     13.796875     8.270000     7.812500     44.88s
FLOAT_6_E1     48.020000     21.312500     16.270000     6.773438     8.780000     3.679688     61.10s
FLOAT_6_E2     55.150000     25.289062     17.050000     14.234375     9.010000     7.429688     61.39s
FLOAT_6_E3     59.950000     38.609375     21.440000     21.617188     9.480000     9.250000     59.84s
FLOAT_6_E4     49.880000     23.218750     16.680000     13.703125     8.140000     7.859375     60.05s
FLOAT_7_E1     51.440000     23.953125     17.860000     10.000000     7.960000     4.132812     94.77s
FLOAT_7_E2     58.410000     29.664062     18.260000     17.640625     8.860000     8.070312     94.29s
FLOAT_7_E3     62.230000     40.257812     21.940000     22.257812     8.560000     7.867188     94.02s
FLOAT_7_E4     60.140000     38.945312     21.520000     21.968750     9.160000     9.093750     94.04s
FLOAT_7_E5     50.190000     23.757812     16.300000     13.882812     7.970000     7.968750     94.16s
FLOAT_8_E1     53.620000     24.234375     18.030000     11.234375     7.520000     4.734375     161.72s
FLOAT_8_E2     58.660000     31.140625     18.620000     19.093750     8.720000     8.140625     161.20s
FLOAT_8_E3     62.860000     40.531250     22.000000     24.265625     8.140000     7.828125     160.96s
FLOAT_8_E4     62.490000     40.359375     22.000000     22.437500     8.470000     7.867188     161.25s
FLOAT_8_E5     60.040000     38.804688     21.310000     21.531250     9.210000     9.156250     161.08s
FLOAT_8_E6     50.440000     22.921875     16.300000     13.984375     7.900000     7.789062     160.57s
