ResNet_18 cifar100
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      75.720000     48.468750     18.720000     51.976562     4.600000     36.257812     41.51s
INT_2     1.050000     1.062500     1.000000     1.062500     1.000000     1.062500     105.76s
INT_3     1.110000     0.937500     1.000000     0.992188     1.000000     0.992188     107.01s
INT_4     6.050000     5.179688     1.050000     2.148438     0.920000     1.468750     90.83s
INT_5     50.970000     30.781250     10.850000     33.718750     5.720000     23.820312     85.06s
INT_6     70.860000     44.273438     17.920000     48.929688     6.760000     36.203125     104.06s
INT_7     74.530000     49.281250     17.560000     52.179688     5.550000     38.210938     103.49s
INT_8     75.420000     48.562500     18.590000     52.656250     5.420000     36.968750     107.94s
INT_9     75.290000     48.656250     18.520000     52.882812     5.150000     36.921875     102.77s
INT_10     75.500000     48.429688     18.590000     52.679688     5.130000     36.890625     99.65s
INT_11     75.420000     48.929688     18.490000     52.796875     4.930000     36.820312     101.77s
INT_12     75.500000     48.671875     18.560000     52.546875     4.890000     36.789062     104.04s
INT_13     75.400000     48.750000     18.450000     52.781250     4.960000     36.718750     107.09s
INT_14     75.380000     48.812500     18.510000     52.757812     5.080000     36.734375     85.38s
INT_15     75.430000     48.625000     18.560000     52.664062     4.970000     36.804688     106.51s
INT_16     75.380000     48.828125     18.490000     52.812500     5.020000     36.789062     104.30s
POT_2     1.000000     1.062500     1.000000     1.062500     1.000000     1.062500     133.99s
POT_3     1.000000     1.632812     1.000000     0.992188     1.000000     0.992188     143.01s
POT_4     19.970000     23.000000     4.930000     5.875000     3.550000     3.562500     172.34s
POT_5     17.190000     20.859375     4.650000     5.976562     3.320000     3.960938     237.55s
POT_6     18.690000     21.367188     5.060000     3.843750     3.370000     2.828125     364.69s
POT_7     15.080000     24.492188     5.560000     6.539062     4.090000     4.414062     624.68s
POT_8     20.530000     20.875000     5.170000     6.101562     3.980000     3.890625     1139.09s
FLOAT_3_E1     0.960000     1.367188     0.830000     0.953125     1.190000     0.820312     144.80s
FLOAT_4_E1     25.630000     16.054688     5.740000     7.226562     3.630000     4.921875     172.17s
FLOAT_4_E2     15.960000     12.500000     1.980000     6.554688     1.360000     5.132812     171.87s
FLOAT_5_E1     53.420000     33.117188     13.590000     24.507812     7.510000     17.632812     237.25s
FLOAT_5_E2     53.880000     38.500000     7.500000     28.742188     4.260000     17.109375     237.45s
FLOAT_5_E3     58.640000     43.281250     14.920000     41.570312     6.500000     31.171875     237.14s
FLOAT_6_E1     59.440000     42.421875     14.460000     32.320312     6.570000     23.421875     363.70s
FLOAT_6_E2     64.600000     43.406250     11.560000     42.757812     5.270000     27.898438     364.25s
FLOAT_6_E3     71.680000     46.843750     18.480000     50.414062     6.330000     36.750000     364.37s
FLOAT_6_E4     58.550000     43.406250     14.920000     42.132812     6.250000     31.445312     365.01s
FLOAT_7_E1     64.430000     40.851562     15.280000     36.179688     6.430000     26.046875     625.27s
FLOAT_7_E2     68.690000     45.304688     14.340000     45.789062     6.220000     32.796875     625.91s
FLOAT_7_E3     74.380000     49.187500     18.570000     52.671875     5.480000     36.343750     627.07s
FLOAT_7_E4     71.490000     47.078125     18.710000     50.796875     6.470000     37.296875     627.11s
FLOAT_7_E5     57.370000     43.585938     14.750000     41.679688     6.410000     31.289062     626.12s
FLOAT_8_E1     65.180000     42.164062     15.020000     36.500000     6.260000     26.226562     1139.44s
FLOAT_8_E2     69.890000     46.632812     14.750000     47.617188     6.060000     34.531250     1140.83s
FLOAT_8_E3     75.280000     48.398438     18.450000     52.445312     5.190000     36.156250     1141.41s
FLOAT_8_E4     74.490000     49.156250     18.580000     52.726562     5.580000     36.234375     1141.37s
FLOAT_8_E5     71.590000     47.515625     18.680000     50.570312     6.420000     36.929688     1142.54s
FLOAT_8_E6     59.890000     42.718750     14.770000     40.554688     6.410000     30.367188     1142.01s
