AlexNet cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      88.640000     99.726562     45.340000     60.039062     19.860000     34.625000     12.48s
INT_2     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     27.51s
INT_3     10.120000     12.867188     10.000000     9.859375     10.000000     9.859375     28.69s
INT_4     55.640000     61.656250     13.900000     24.125000     11.280000     18.562500     24.35s
INT_5     82.880000     97.656250     37.790000     47.492188     29.120000     39.851562     29.08s
INT_6     87.300000     99.601562     44.420000     57.523438     30.590000     44.406250     28.29s
INT_7     88.230000     99.687500     44.040000     64.289062     25.940000     45.078125     26.63s
INT_8     88.450000     99.750000     45.230000     60.523438     23.230000     38.359375     29.04s
INT_9     88.630000     99.703125     45.200000     60.445312     21.140000     35.984375     26.95s
INT_10     88.700000     99.726562     45.230000     59.882812     20.510000     35.289062     26.87s
INT_11     88.660000     99.726562     45.250000     60.046875     20.100000     34.851562     25.40s
INT_12     88.660000     99.734375     45.260000     60.109375     19.830000     34.804688     26.59s
INT_13     88.630000     99.726562     45.250000     60.039062     19.860000     34.640625     28.14s
INT_14     88.630000     99.726562     45.230000     59.992188     19.820000     34.687500     28.48s
INT_15     88.620000     99.726562     45.390000     60.000000     19.920000     34.617188     26.30s
INT_16     88.630000     99.726562     45.350000     60.039062     19.840000     34.679688     26.49s
POT_2     10.000000     10.101562     10.000000     10.101562     10.000000     10.101562     37.71s
POT_3     16.660000     22.515625     10.010000     9.859375     10.000000     9.859375     38.29s
POT_4     69.810000     93.085938     28.190000     31.140625     17.220000     22.968750     44.90s
POT_5     69.760000     94.015625     27.550000     30.828125     15.820000     22.289062     53.51s
POT_6     70.680000     93.789062     27.980000     29.921875     15.690000     22.023438     74.98s
POT_7     70.320000     94.070312     28.060000     30.867188     15.880000     22.164062     118.00s
POT_8     69.810000     93.976562     27.690000     30.664062     15.670000     22.210938     201.64s
FLOAT_3_E1     23.220000     27.843750     14.160000     22.140625     11.230000     17.406250     38.73s
FLOAT_4_E1     68.120000     91.484375     23.850000     34.398438     17.930000     27.429688     44.20s
FLOAT_4_E2     66.360000     85.289062     24.400000     34.234375     20.050000     31.000000     43.02s
FLOAT_5_E1     79.430000     98.726562     29.100000     47.679688     18.930000     33.992188     54.85s
FLOAT_5_E2     84.020000     97.804688     37.570000     55.046875     24.200000     39.953125     54.37s
FLOAT_5_E3     85.030000     99.250000     39.370000     55.171875     19.650000     32.359375     54.10s
FLOAT_6_E1     83.350000     98.812500     32.690000     61.523438     18.640000     41.695312     75.39s
FLOAT_6_E2     87.150000     99.632812     40.570000     50.257812     22.020000     32.414062     75.66s
FLOAT_6_E3     87.980000     99.648438     44.120000     67.335938     20.330000     39.570312     75.61s
FLOAT_6_E4     85.250000     99.250000     39.030000     53.781250     19.680000     31.476562     75.94s
FLOAT_7_E1     85.030000     99.195312     35.290000     68.187500     17.640000     45.750000     118.53s
FLOAT_7_E2     87.490000     99.750000     41.860000     48.734375     20.750000     28.445312     118.74s
FLOAT_7_E3     88.610000     99.765625     44.980000     59.601562     19.960000     35.289062     118.59s
FLOAT_7_E4     88.090000     99.671875     43.810000     67.312500     20.060000     39.593750     118.47s
FLOAT_7_E5     85.270000     99.296875     39.270000     53.632812     19.510000     31.132812     118.94s
FLOAT_8_E1     86.080000     99.320312     36.530000     69.195312     17.620000     45.312500     202.51s
FLOAT_8_E2     87.870000     99.640625     41.830000     47.335938     19.320000     26.867188     202.51s
FLOAT_8_E3     88.730000     99.757812     44.970000     60.351562     19.860000     35.195312     202.19s
FLOAT_8_E4     88.630000     99.781250     44.840000     59.601562     19.950000     34.890625     202.12s
FLOAT_8_E5     88.150000     99.648438     44.280000     67.242188     20.160000     39.281250     202.64s
FLOAT_8_E6     85.200000     99.281250     38.980000     53.492188     19.830000     30.859375     202.72s
