AlexNet_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.130000     99.843750     48.620000     64.164062     19.220000     23.390625     14.21s
INT_2     10.000000     9.796875     10.000000     9.796875     10.000000     9.796875     28.30s
INT_3     14.040000     16.929688     10.000000     9.796875     10.000000     9.796875     31.25s
INT_4     48.760000     62.328125     15.280000     17.804688     13.540000     15.468750     35.92s
INT_5     76.310000     96.093750     23.750000     32.851562     16.270000     23.593750     28.12s
INT_6     88.910000     99.375000     43.970000     65.976562     24.860000     43.390625     31.49s
INT_7     89.790000     99.875000     47.430000     65.625000     24.060000     32.945312     33.04s
INT_8     90.240000     99.828125     47.930000     65.617188     21.380000     28.531250     34.08s
INT_9     90.070000     99.835938     48.230000     64.531250     20.100000     24.960938     31.51s
INT_10     90.100000     99.843750     48.380000     64.101562     19.560000     24.078125     31.64s
INT_11     90.120000     99.843750     48.360000     64.320312     19.390000     23.601562     30.91s
INT_12     90.160000     99.843750     48.490000     63.929688     19.300000     23.343750     33.59s
INT_13     90.140000     99.843750     48.490000     64.062500     19.200000     23.414062     37.41s
INT_14     90.130000     99.843750     48.550000     64.062500     19.200000     23.320312     34.77s
INT_15     90.140000     99.843750     48.650000     64.125000     19.310000     23.312500     34.93s
INT_16     90.130000     99.843750     48.610000     64.179688     19.170000     23.242188     27.59s
POT_2     10.000000     9.796875     10.000000     9.796875     10.000000     9.796875     40.82s
POT_3     17.480000     21.945312     10.930000     17.320312     10.470000     16.445312     39.56s
POT_4     74.750000     94.773438     28.570000     30.968750     16.050000     20.554688     46.32s
POT_5     74.280000     95.609375     30.290000     34.664062     16.780000     23.367188     56.10s
POT_6     74.770000     94.875000     30.550000     32.242188     17.040000     21.546875     77.70s
POT_7     74.510000     94.929688     30.430000     32.617188     16.910000     21.593750     120.50s
POT_8     74.440000     94.882812     30.590000     32.570312     17.060000     21.695312     203.68s
FLOAT_3_E1     23.080000     29.265625     10.980000     12.031250     10.450000     9.218750     40.04s
FLOAT_4_E1     68.200000     85.187500     20.790000     39.726562     14.550000     26.523438     46.18s
FLOAT_4_E2     72.840000     75.398438     24.180000     25.703125     18.250000     14.500000     46.47s
FLOAT_5_E1     82.640000     97.960938     33.660000     37.171875     19.340000     21.437500     56.24s
FLOAT_5_E2     85.490000     97.875000     39.450000     52.281250     22.870000     36.187500     56.42s
FLOAT_5_E3     87.690000     99.500000     44.720000     39.648438     22.760000     8.898438     55.78s
FLOAT_6_E1     85.790000     98.984375     40.120000     41.929688     20.980000     20.867188     77.81s
FLOAT_6_E2     87.740000     99.203125     42.470000     58.515625     21.300000     29.851562     77.15s
FLOAT_6_E3     89.570000     99.804688     48.220000     62.257812     21.390000     31.390625     77.14s
FLOAT_6_E4     87.980000     99.492188     45.690000     39.554688     22.790000     9.023438     77.11s
FLOAT_7_E1     86.840000     99.039062     41.350000     42.812500     19.330000     18.835938     120.79s
FLOAT_7_E2     88.630000     99.546875     44.440000     60.148438     21.050000     27.734375     120.65s
FLOAT_7_E3     89.950000     99.812500     48.060000     64.007812     19.780000     23.828125     120.79s
FLOAT_7_E4     89.280000     99.773438     48.030000     62.218750     21.390000     30.929688     120.54s
FLOAT_7_E5     87.790000     99.562500     45.490000     39.453125     22.620000     9.007812     120.39s
FLOAT_8_E1     86.990000     99.125000     42.250000     44.859375     19.130000     18.960938     203.77s
FLOAT_8_E2     88.850000     99.679688     44.820000     61.281250     20.120000     26.546875     203.59s
FLOAT_8_E3     90.120000     99.835938     48.090000     64.414062     19.210000     24.250000     203.75s
FLOAT_8_E4     89.810000     99.804688     48.030000     63.921875     19.600000     23.882812     203.55s
FLOAT_8_E5     89.560000     99.804688     48.230000     62.453125     21.530000     31.429688     203.70s
FLOAT_8_E6     87.870000     99.515625     45.530000     39.664062     22.880000     9.023438     204.57s
