AlexNet_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.130000     98.140625     48.620000     53.664062     19.240000     21.531250     14.11s
INT_2     10.000000     9.859375     10.000000     9.859375     10.000000     9.859375     35.01s
INT_3     14.040000     14.937500     10.000000     9.859375     10.000000     9.859375     32.19s
INT_4     48.760000     50.593750     15.270000     15.078125     13.680000     11.140625     33.45s
INT_5     76.310000     89.203125     23.770000     24.539062     16.410000     15.882812     35.46s
INT_6     88.910000     97.398438     44.340000     59.687500     25.030000     34.093750     34.29s
INT_7     89.790000     98.390625     47.460000     57.789062     24.340000     28.945312     34.86s
INT_8     90.240000     98.226562     48.240000     55.875000     21.340000     24.593750     28.40s
INT_9     90.070000     98.210938     48.250000     54.171875     20.160000     22.367188     35.74s
INT_10     90.100000     98.148438     48.370000     53.789062     19.640000     22.046875     27.08s
INT_11     90.120000     98.140625     48.360000     53.882812     19.380000     21.640625     28.42s
INT_12     90.160000     98.156250     48.430000     53.468750     19.290000     21.445312     35.95s
INT_13     90.140000     98.164062     48.510000     53.726562     19.230000     21.523438     33.68s
INT_14     90.130000     98.156250     48.610000     53.640625     19.320000     21.492188     35.24s
INT_15     90.140000     98.156250     48.630000     53.695312     19.190000     21.484375     32.02s
INT_16     90.130000     98.148438     48.590000     53.648438     19.190000     21.468750     30.39s
POT_2     10.000000     9.859375     10.000000     9.859375     10.000000     9.859375     36.74s
POT_3     17.480000     18.789062     10.110000     11.898438     10.070000     9.265625     39.12s
POT_4     74.750000     82.226562     28.580000     19.375000     16.420000     4.570312     44.06s
POT_5     74.280000     82.382812     30.280000     20.734375     16.600000     3.804688     54.91s
POT_6     74.770000     81.304688     30.540000     19.132812     16.790000     3.882812     75.97s
POT_7     74.510000     81.250000     30.410000     19.304688     17.110000     4.023438     120.26s
POT_8     74.440000     81.210938     30.580000     19.148438     16.620000     4.062500     202.14s
FLOAT_3_E1     23.080000     30.210938     11.580000     12.078125     10.740000     10.859375     38.64s
FLOAT_4_E1     68.200000     79.320312     20.760000     27.664062     14.320000     22.875000     43.86s
FLOAT_4_E2     72.840000     62.210938     24.170000     24.750000     18.080000     20.062500     44.07s
FLOAT_5_E1     82.640000     93.945312     34.060000     25.593750     19.360000     8.656250     54.97s
FLOAT_5_E2     85.490000     93.062500     39.460000     45.640625     22.900000     32.156250     55.10s
FLOAT_5_E3     87.690000     97.679688     44.720000     52.140625     22.650000     33.414062     56.69s
FLOAT_6_E1     85.790000     97.007812     40.050000     23.304688     20.800000     2.242188     78.21s
FLOAT_6_E2     87.740000     96.273438     42.320000     46.750000     21.030000     23.171875     78.11s
FLOAT_6_E3     89.570000     98.117188     48.210000     54.781250     21.460000     33.867188     77.11s
FLOAT_6_E4     87.980000     97.796875     45.490000     51.765625     22.620000     33.242188     77.57s
FLOAT_7_E1     86.840000     97.500000     40.980000     23.367188     19.280000     2.437500     120.82s
FLOAT_7_E2     88.630000     97.476562     44.790000     49.515625     21.340000     21.687500     120.77s
FLOAT_7_E3     89.950000     98.000000     47.930000     54.250000     19.720000     23.625000     120.26s
FLOAT_7_E4     89.280000     98.210938     48.330000     54.109375     21.410000     33.726562     121.09s
FLOAT_7_E5     87.790000     97.656250     44.930000     50.390625     22.760000     32.015625     120.11s
FLOAT_8_E1     86.990000     97.312500     42.130000     24.601562     18.890000     2.265625     204.38s
FLOAT_8_E2     88.850000     97.835938     44.780000     50.250000     20.240000     21.273438     203.89s
FLOAT_8_E3     90.120000     97.992188     47.990000     53.593750     19.320000     21.429688     203.68s
FLOAT_8_E4     89.810000     97.984375     48.180000     54.085938     19.630000     23.789062     203.57s
FLOAT_8_E5     89.560000     98.187500     48.020000     54.031250     21.520000     33.882812     203.36s
FLOAT_8_E6     87.870000     97.664062     45.340000     51.070312     22.850000     32.656250     203.67s
