AlexNet cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      88.640000     98.367188     45.350000     44.460938     19.840000     18.523438     12.74s
INT_2     10.000000     9.664062     10.000000     9.664062     10.000000     9.664062     25.70s
INT_3     10.120000     11.695312     10.000000     9.734375     10.000000     9.734375     26.12s
INT_4     55.630000     32.539062     14.140000     15.945312     11.180000     12.492188     26.08s
INT_5     82.870000     91.015625     38.720000     39.273438     29.440000     32.289062     27.52s
INT_6     87.290000     96.789062     43.940000     42.273438     30.270000     30.421875     26.53s
INT_7     88.210000     98.171875     44.080000     45.671875     25.950000     25.851562     27.96s
INT_8     88.450000     98.320312     45.320000     45.484375     23.240000     21.710938     26.62s
INT_9     88.620000     98.382812     45.110000     44.523438     21.210000     19.460938     28.96s
INT_10     88.700000     98.382812     45.330000     44.515625     20.510000     19.023438     27.46s
INT_11     88.660000     98.351562     45.370000     44.546875     20.060000     18.617188     28.68s
INT_12     88.650000     98.367188     45.280000     44.601562     19.970000     18.515625     28.58s
INT_13     88.610000     98.359375     45.300000     44.445312     19.930000     18.539062     28.37s
INT_14     88.630000     98.367188     45.280000     44.390625     19.850000     18.515625     28.09s
INT_15     88.620000     98.375000     45.340000     44.437500     19.920000     18.484375     27.94s
INT_16     88.640000     98.359375     45.360000     44.453125     19.860000     18.500000     29.81s
POT_2     10.000000     9.664062     10.000000     9.664062     10.000000     9.664062     38.80s
POT_3     16.660000     22.265625     10.000000     9.734375     10.000000     9.734375     39.44s
POT_4     69.820000     80.359375     28.350000     21.015625     17.140000     16.023438     44.81s
POT_5     69.760000     81.335938     27.910000     20.648438     15.550000     15.398438     54.06s
POT_6     70.700000     82.140625     27.860000     20.617188     15.480000     15.296875     75.89s
POT_7     70.330000     81.703125     27.980000     20.531250     15.410000     15.296875     118.40s
POT_8     69.780000     81.601562     27.390000     20.640625     15.190000     15.539062     202.54s
FLOAT_3_E1     23.290000     23.593750     14.870000     17.546875     12.380000     13.703125     38.63s
FLOAT_4_E1     68.090000     78.453125     23.870000     25.351562     17.530000     19.164062     45.01s
FLOAT_4_E2     66.380000     64.734375     24.690000     28.187500     20.490000     24.898438     44.96s
FLOAT_5_E1     79.440000     91.828125     28.910000     34.781250     18.920000     23.375000     54.94s
FLOAT_5_E2     84.040000     90.421875     38.090000     39.320312     23.950000     24.382812     54.86s
FLOAT_5_E3     85.010000     96.132812     39.170000     42.804688     19.610000     21.914062     54.40s
FLOAT_6_E1     83.300000     92.437500     33.340000     48.632812     18.750000     28.976562     76.28s
FLOAT_6_E2     87.160000     95.906250     40.520000     36.976562     21.800000     19.195312     76.35s
FLOAT_6_E3     88.000000     98.132812     44.240000     46.445312     20.020000     18.070312     75.01s
FLOAT_6_E4     85.260000     96.414062     39.190000     42.765625     19.890000     21.921875     76.13s
FLOAT_7_E1     85.010000     94.062500     35.230000     57.640625     17.780000     35.171875     118.51s
FLOAT_7_E2     87.530000     96.648438     41.790000     33.414062     20.990000     15.617188     119.42s
FLOAT_7_E3     88.620000     98.375000     44.910000     45.765625     19.990000     19.265625     118.86s
FLOAT_7_E4     88.100000     98.046875     44.130000     46.031250     19.990000     18.000000     118.58s
FLOAT_7_E5     85.250000     96.125000     39.210000     42.187500     19.480000     21.625000     119.04s
FLOAT_8_E1     86.050000     95.023438     36.430000     57.023438     17.670000     33.640625     202.68s
FLOAT_8_E2     87.840000     96.796875     42.310000     31.882812     19.590000     14.875000     202.56s
FLOAT_8_E3     88.720000     98.507812     44.790000     45.359375     19.850000     18.406250     203.11s
FLOAT_8_E4     88.620000     98.343750     44.770000     45.515625     20.090000     19.156250     203.37s
FLOAT_8_E5     88.150000     98.187500     44.180000     45.843750     20.120000     18.125000     203.58s
FLOAT_8_E6     85.170000     96.140625     38.670000     42.554688     19.550000     21.828125     203.49s
