Inception_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.830000     99.976562     42.840000     61.320312     7.240000     4.601562     158.12s
INT_2     10.000000     10.039062     10.000000     10.039062     10.000000     10.039062     289.91s
INT_3     10.680000     11.445312     10.090000     9.281250     10.320000     9.921875     286.58s
INT_4     29.840000     34.031250     13.340000     25.953125     11.530000     23.289062     309.70s
INT_5     80.350000     87.601562     31.260000     43.593750     16.150000     26.859375     310.38s
INT_6     93.480000     99.765625     41.320000     58.539062     12.690000     23.078125     314.44s
INT_7     94.540000     99.976562     42.930000     61.117188     9.610000     11.625000     313.02s
INT_8     94.830000     99.976562     43.680000     61.593750     8.100000     6.328125     311.08s
INT_9     94.840000     99.960938     43.210000     60.367188     7.430000     4.828125     309.57s
INT_10     94.790000     99.968750     42.950000     60.304688     7.220000     4.656250     305.39s
INT_11     94.840000     99.968750     42.830000     60.445312     7.210000     4.523438     308.33s
INT_12     94.850000     99.968750     42.900000     60.382812     7.230000     4.507812     313.92s
INT_13     94.820000     99.968750     42.740000     60.468750     7.250000     4.515625     292.75s
INT_14     94.830000     99.968750     42.790000     60.414062     7.060000     4.531250     309.78s
INT_15     94.810000     99.968750     42.850000     60.398438     7.250000     4.523438     309.29s
INT_16     94.830000     99.968750     42.800000     60.445312     7.200000     4.492188     307.34s
POT_2     10.000000     10.039062     10.000000     10.039062     10.000000     10.039062     449.54s
POT_3     11.500000     8.343750     9.780000     9.632812     9.630000     9.210938     502.14s
POT_4     38.810000     24.929688     14.590000     15.445312     10.510000     13.671875     639.36s
POT_5     40.190000     39.179688     16.720000     26.164062     13.180000     21.125000     909.17s
POT_6     23.960000     24.367188     13.880000     16.445312     9.070000     13.445312     1425.79s
POT_7     38.480000     48.031250     18.230000     26.125000     10.690000     18.312500     2487.01s
POT_8     40.730000     42.921875     19.370000     23.312500     12.090000     14.000000     4562.34s
FLOAT_3_E1     10.000000     9.890625     9.910000     9.218750     10.140000     9.398438     503.88s
FLOAT_4_E1     19.150000     30.679688     20.670000     15.750000     14.380000     12.265625     640.31s
FLOAT_4_E2     54.380000     44.984375     16.450000     25.640625     10.530000     16.679688     640.48s
FLOAT_5_E1     60.290000     76.406250     28.360000     38.593750     15.290000     22.578125     906.06s
FLOAT_5_E2     85.500000     98.218750     37.320000     39.484375     17.170000     17.351562     906.78s
FLOAT_5_E3     86.480000     99.593750     40.220000     59.359375     13.480000     26.515625     907.52s
FLOAT_6_E1     76.320000     95.289062     30.400000     43.734375     12.730000     19.054688     1420.68s
FLOAT_6_E2     92.260000     99.859375     40.440000     46.671875     14.370000     13.015625     1424.48s
FLOAT_6_E3     93.400000     99.929688     43.200000     62.179688     11.020000     16.570312     1426.48s
FLOAT_6_E4     86.480000     99.500000     38.810000     51.578125     14.470000     22.687500     1422.52s
FLOAT_7_E1     78.170000     97.359375     31.890000     42.812500     11.760000     14.968750     2480.58s
FLOAT_7_E2     93.010000     99.914062     42.120000     46.851562     13.230000     9.828125     2480.65s
FLOAT_7_E3     94.470000     99.976562     43.230000     57.070312     8.860000     6.117188     2485.42s
FLOAT_7_E4     93.430000     99.953125     42.890000     63.476562     11.410000     17.773438     2486.79s
FLOAT_7_E5     87.980000     98.765625     38.120000     51.718750     14.820000     25.601562     2484.98s
