Inception_BN cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.830000     88.007812     42.810000     46.429688     7.230000     5.210938     157.45s
INT_2     10.000000     9.539062     10.000000     9.539062     10.000000     9.539062     312.83s
INT_3     10.750000     7.906250     9.430000     10.664062     9.670000     9.742188     273.20s
INT_4     29.690000     28.929688     14.540000     19.476562     10.040000     15.421875     327.39s
INT_5     80.670000     59.156250     30.230000     29.742188     16.490000     18.468750     326.41s
INT_6     93.540000     79.750000     42.680000     40.429688     13.360000     15.554688     313.06s
INT_7     94.510000     86.109375     42.520000     45.703125     9.560000     10.015625     321.22s
INT_8     94.860000     86.617188     43.170000     45.945312     8.010000     5.648438     317.96s
INT_9     94.810000     85.437500     43.200000     45.750000     7.580000     5.710938     326.22s
INT_10     94.840000     85.554688     42.920000     45.273438     7.240000     5.296875     308.54s
INT_11     94.840000     85.335938     42.870000     45.500000     7.360000     5.328125     308.32s
INT_12     94.850000     85.539062     42.750000     45.359375     7.230000     5.234375     319.09s
INT_13     94.820000     85.296875     42.870000     45.484375     7.120000     5.171875     313.66s
INT_14     94.840000     85.359375     42.820000     45.460938     7.210000     5.164062     308.37s
INT_15     94.810000     85.585938     42.770000     45.515625     7.200000     5.226562     309.83s
INT_16     94.830000     85.632812     42.780000     45.523438     7.270000     5.210938     312.72s
POT_2     10.000000     9.539062     10.000000     9.539062     10.000000     9.539062     442.95s
POT_3     11.540000     10.664062     10.350000     9.187500     10.290000     9.710938     500.26s
POT_4     38.340000     21.226562     26.370000     22.453125     16.150000     11.648438     639.03s
POT_5     39.980000     34.382812     17.060000     16.164062     11.520000     11.773438     908.58s
POT_6     24.030000     15.484375     13.480000     11.171875     9.170000     10.406250     1426.20s
POT_7     38.250000     40.664062     22.170000     20.437500     15.010000     9.546875     2483.35s
POT_8     41.360000     32.523438     23.510000     20.164062     14.980000     12.617188     4567.44s
FLOAT_3_E1     10.030000     9.968750     9.950000     9.984375     10.060000     10.132812     503.42s
FLOAT_4_E1     17.620000     28.054688     19.260000     16.750000     14.870000     11.382812     639.87s
FLOAT_4_E2     54.990000     26.539062     16.470000     19.804688     10.100000     9.843750     640.43s
FLOAT_5_E1     59.920000     48.804688     28.060000     29.125000     14.400000     19.906250     905.43s
FLOAT_5_E2     85.410000     71.265625     33.910000     26.796875     16.600000     12.984375     910.60s
FLOAT_5_E3     86.580000     72.437500     37.810000     41.031250     13.790000     18.593750     903.49s
FLOAT_6_E1     76.300000     58.875000     30.310000     32.015625     12.410000     15.710938     1420.05s
FLOAT_6_E2     92.190000     88.070312     41.010000     36.132812     14.840000     9.726562     1419.32s
FLOAT_6_E3     93.290000     86.539062     42.810000     42.671875     11.900000     12.796875     1422.39s
FLOAT_6_E4     86.740000     78.867188     39.560000     44.601562     14.680000     18.531250     1421.04s
FLOAT_7_E1     78.370000     58.156250     30.890000     33.570312     11.620000     14.000000     2480.21s
FLOAT_7_E2     93.030000     88.695312     42.090000     39.156250     13.060000     9.492188     2483.90s
FLOAT_7_E3     94.450000     88.250000     43.370000     43.000000     9.310000     6.257812     2482.01s
FLOAT_7_E4     93.570000     85.632812     43.480000     43.718750     11.540000     13.203125     2481.06s
FLOAT_7_E5     88.000000     68.929688     39.650000     41.398438     14.730000     17.562500     2482.61s
FLOAT_8_E1     82.240000     61.664062     31.650000     31.703125     10.610000     12.351562     4562.81s
FLOAT_8_E2     93.680000     86.945312     41.010000     35.921875     12.320000     8.031250     4563.76s
FLOAT_8_E3     94.760000     86.843750     42.640000     45.796875     7.780000     5.781250     4562.76s
FLOAT_8_E4     94.460000     88.773438     43.660000     41.367188     9.330000     5.921875     4575.23s
FLOAT_8_E5     93.290000     86.468750     41.740000     41.054688     11.830000     11.843750     4576.43s
FLOAT_8_E6     87.980000     77.648438     37.900000     42.898438     14.720000     18.507812     4572.51s
