MobileNetV2 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.270000     99.960938     40.190000     76.007812     5.550000     16.015625     58.61s
INT_2     10.000000     9.453125     10.000000     9.453125     10.000000     9.453125     228.33s
INT_3     9.960000     9.453125     10.000000     9.453125     10.000000     9.453125     225.76s
INT_4     9.490000     10.398438     10.280000     9.835938     10.150000     9.960938     229.86s
INT_5     20.560000     38.156250     11.720000     18.320312     10.230000     14.906250     229.48s
INT_6     57.910000     94.695312     24.450000     39.335938     14.740000     25.492188     229.98s
INT_7     80.300000     99.617188     35.160000     64.382812     12.750000     33.750000     228.65s
INT_8     88.180000     99.898438     43.090000     76.250000     10.770000     28.632812     228.98s
INT_9     89.760000     99.937500     41.570000     74.953125     8.410000     21.726562     227.42s
INT_10     90.380000     99.968750     40.400000     75.234375     6.480000     18.093750     204.56s
INT_11     90.290000     99.945312     40.410000     76.359375     5.950000     17.062500     230.18s
INT_12     90.270000     99.960938     40.260000     75.882812     5.750000     16.234375     228.24s
INT_13     90.240000     99.960938     40.270000     76.000000     5.760000     16.195312     184.42s
INT_14     90.260000     99.960938     40.140000     75.937500     5.610000     16.101562     231.10s
INT_15     90.270000     99.960938     40.220000     76.000000     5.660000     16.085938     230.59s
INT_16     90.270000     99.960938     40.100000     76.117188     5.650000     16.085938     226.82s
POT_2     10.000000     9.453125     10.000000     9.453125     10.000000     9.453125     249.26s
POT_3     9.990000     9.343750     9.790000     9.484375     9.910000     9.453125     253.89s
POT_4     14.620000     21.656250     10.240000     14.851562     10.260000     14.046875     267.65s
POT_5     14.390000     20.992188     10.700000     12.523438     10.550000     9.789062     314.54s
POT_6     14.330000     20.406250     10.030000     11.757812     10.020000     11.039062     446.22s
POT_7     15.040000     22.085938     10.510000     15.671875     10.100000     12.734375     688.91s
POT_8     14.710000     20.492188     11.000000     12.359375     10.430000     11.156250     1190.58s
FLOAT_3_E1     9.660000     9.859375     9.960000     10.007812     9.920000     10.117188     222.21s
FLOAT_4_E1     11.660000     13.765625     10.170000     10.539062     11.100000     10.703125     269.14s
FLOAT_4_E2     13.230000     19.789062     10.430000     13.820312     10.080000     13.921875     269.10s
FLOAT_5_E1     17.160000     32.843750     11.100000     21.820312     10.590000     19.171875     320.41s
FLOAT_5_E2     26.760000     49.726562     14.300000     24.031250     11.460000     21.664062     316.64s
FLOAT_5_E3     46.320000     76.359375     28.230000     38.593750     15.810000     27.125000     325.47s
FLOAT_6_E1     28.010000     48.945312     11.350000     28.734375     10.320000     25.109375     445.64s
FLOAT_6_E2     45.820000     88.882812     21.670000     25.640625     13.820000     20.078125     445.42s
FLOAT_6_E3     69.910000     97.281250     37.480000     64.585938     13.410000     35.734375     444.29s
FLOAT_6_E4     46.590000     77.820312     27.800000     37.906250     15.840000     25.828125     444.06s
FLOAT_7_E1     33.850000     65.789062     12.760000     12.945312     9.460000     10.710938     695.39s
FLOAT_7_E2     59.400000     95.421875     21.080000     24.164062     9.980000     16.007812     675.21s
FLOAT_7_E3     85.620000     99.906250     38.860000     71.718750     11.040000     29.531250     682.41s
FLOAT_7_E4     68.900000     97.562500     36.920000     63.671875     13.480000     34.007812     676.20s
FLOAT_7_E5     47.350000     76.328125     23.630000     37.179688     13.530000     25.382812     689.76s
FLOAT_8_E1     41.420000     72.015625     11.360000     22.734375     10.010000     15.734375     1184.54s
FLOAT_8_E2     68.860000     97.851562     24.470000     32.976562     11.570000     21.460938     1189.14s
FLOAT_8_E3     89.220000     99.960938     40.040000     71.375000     8.530000     22.945312     1193.14s
FLOAT_8_E4     85.830000     99.867188     37.180000     68.492188     10.300000     27.601562     1187.11s
FLOAT_8_E5     68.490000     97.140625     36.850000     63.984375     13.690000     35.257812     1192.24s
FLOAT_8_E6     46.620000     76.835938     27.690000     38.179688     15.320000     25.703125     1191.62s
