MobileNetV2 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      90.270000     75.890625     40.190000     36.140625     5.590000     3.234375     57.71s
INT_2     10.000000     9.960938     10.000000     9.960938     10.000000     9.960938     140.67s
INT_3     9.960000     9.960938     10.000000     9.960938     10.000000     9.960938     203.35s
INT_4     9.490000     8.921875     10.470000     9.171875     10.220000     9.117188     221.97s
INT_5     20.560000     21.453125     12.930000     13.609375     10.540000     13.062500     219.63s
INT_6     57.910000     59.773438     23.630000     22.429688     14.120000     12.093750     223.85s
INT_7     80.300000     70.710938     36.340000     31.156250     13.340000     12.796875     223.15s
INT_8     88.180000     72.945312     42.470000     36.648438     10.800000     7.296875     222.42s
INT_9     89.760000     76.039062     41.690000     35.085938     8.180000     4.953125     224.29s
INT_10     90.380000     76.070312     40.280000     35.804688     6.340000     3.812500     220.84s
INT_11     90.290000     75.656250     40.460000     36.070312     5.930000     3.484375     225.77s
INT_12     90.270000     75.679688     40.280000     36.039062     5.750000     3.281250     221.15s
INT_13     90.240000     75.804688     40.230000     36.039062     5.770000     3.203125     221.53s
INT_14     90.260000     75.851562     40.170000     36.195312     5.660000     3.187500     222.13s
INT_15     90.270000     75.882812     40.190000     36.039062     5.630000     3.218750     223.85s
INT_16     90.270000     75.875000     40.150000     36.078125     5.580000     3.203125     222.96s
POT_2     10.000000     9.960938     10.000000     9.960938     10.000000     9.960938     243.47s
POT_3     9.990000     9.882812     9.670000     9.281250     9.610000     9.593750     240.64s
POT_4     14.620000     12.492188     10.170000     16.406250     10.070000     15.171875     262.08s
POT_5     14.390000     11.203125     10.610000     12.218750     10.590000     10.539062     317.48s
POT_6     14.330000     12.171875     10.020000     12.226562     10.000000     10.890625     436.84s
POT_7     15.040000     14.234375     10.490000     16.687500     10.250000     14.820312     690.31s
POT_8     14.710000     12.039062     11.290000     12.656250     10.560000     11.804688     1186.04s
FLOAT_3_E1     9.660000     9.750000     10.420000     9.703125     10.340000     9.921875     238.90s
FLOAT_4_E1     11.660000     11.148438     11.340000     9.953125     10.950000     8.992188     261.89s
FLOAT_4_E2     13.230000     15.601562     11.040000     12.132812     10.780000     11.171875     264.80s
FLOAT_5_E1     17.160000     14.484375     10.780000     13.296875     10.350000     12.828125     319.40s
FLOAT_5_E2     26.760000     25.257812     14.530000     20.609375     11.370000     17.187500     322.91s
FLOAT_5_E3     46.320000     35.921875     26.910000     18.406250     14.750000     11.726562     323.57s
FLOAT_6_E1     28.010000     21.164062     11.670000     13.085938     10.670000     10.898438     441.74s
FLOAT_6_E2     45.820000     50.187500     21.360000     21.625000     13.380000     15.359375     441.60s
FLOAT_6_E3     69.910000     66.226562     37.160000     31.343750     13.500000     10.710938     419.23s
FLOAT_6_E4     46.590000     35.015625     27.670000     18.195312     15.450000     10.656250     438.30s
FLOAT_7_E1     33.850000     42.398438     12.750000     13.359375     9.600000     8.742188     672.35s
FLOAT_7_E2     59.400000     57.781250     21.050000     16.929688     10.500000     10.140625     679.77s
FLOAT_7_E3     85.620000     75.304688     39.370000     37.000000     10.910000     9.648438     679.33s
FLOAT_7_E4     68.900000     65.718750     36.710000     30.421875     13.590000     10.265625     690.20s
FLOAT_7_E5     47.350000     38.382812     24.230000     21.367188     13.760000     16.851562     668.22s
FLOAT_8_E1     41.420000     42.039062     11.290000     18.187500     9.980000     11.757812     1183.25s
FLOAT_8_E2     68.860000     58.406250     25.150000     18.640625     11.960000     9.539062     1182.87s
FLOAT_8_E3     89.220000     75.000000     39.870000     33.851562     8.730000     6.867188     1185.24s
FLOAT_8_E4     85.830000     75.945312     37.480000     36.562500     10.440000     8.906250     1187.76s
FLOAT_8_E5     68.490000     65.054688     36.680000     30.789062     13.730000     10.367188     1180.14s
FLOAT_8_E6     46.620000     36.007812     27.130000     17.242188     15.720000     10.234375     1187.43s
