ResNet_18 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.300000     99.414062     47.310000     47.835938     11.270000     10.867188     59.05s
INT_2     10.000000     9.843750     10.000000     9.843750     10.000000     9.843750     105.14s
INT_3     10.000000     10.007812     10.000000     10.007812     10.000000     10.007812     105.30s
INT_4     49.440000     28.398438     20.680000     24.406250     14.080000     17.132812     105.48s
INT_5     87.620000     87.671875     34.230000     39.539062     19.800000     19.164062     105.49s
INT_6     93.250000     98.453125     47.820000     52.632812     16.790000     18.226562     105.88s
INT_7     94.070000     98.898438     46.700000     47.726562     13.450000     13.914062     128.22s
INT_8     94.260000     99.398438     48.870000     48.085938     12.440000     12.304688     109.68s
INT_9     94.350000     99.437500     47.720000     49.085938     11.800000     11.414062     126.65s
INT_10     94.340000     99.406250     47.400000     47.968750     11.470000     11.085938     130.41s
INT_11     94.290000     99.414062     47.590000     48.164062     11.430000     11.085938     124.30s
INT_12     94.320000     99.421875     47.470000     48.023438     11.370000     10.812500     105.42s
INT_13     94.310000     99.414062     47.440000     48.015625     11.390000     10.882812     118.16s
INT_14     94.320000     99.414062     47.420000     48.093750     11.190000     10.921875     119.38s
INT_15     94.300000     99.414062     47.470000     48.031250     11.450000     10.921875     126.28s
INT_16     94.320000     99.414062     47.480000     48.093750     11.290000     10.953125     126.69s
POT_2     10.000000     9.843750     10.000000     9.843750     10.000000     9.843750     169.25s
POT_3     10.200000     14.890625     10.350000     10.046875     8.400000     7.742188     190.90s
POT_4     63.780000     61.000000     29.720000     10.218750     17.810000     5.429688     231.81s
POT_5     50.530000     68.671875     26.900000     10.445312     15.230000     4.335938     311.95s
POT_6     51.610000     72.226562     27.290000     10.101562     15.910000     9.226562     472.97s
POT_7     49.050000     71.421875     28.030000     10.531250     15.920000     5.140625     802.77s
POT_8     55.540000     71.281250     28.080000     10.250000     16.380000     8.296875     1439.04s
FLOAT_3_E1     12.740000     23.578125     11.370000     13.601562     11.430000     13.273438     189.11s
FLOAT_4_E1     47.470000     51.546875     24.570000     13.429688     17.960000     10.171875     228.67s
FLOAT_4_E2     52.510000     82.953125     16.440000     11.648438     9.930000     10.578125     229.72s
FLOAT_5_E1     81.840000     71.031250     37.930000     11.773438     20.110000     5.796875     311.31s
FLOAT_5_E2     85.740000     97.453125     36.790000     35.609375     12.920000     13.664062     313.17s
FLOAT_5_E3     89.480000     95.187500     43.070000     32.476562     17.940000     19.031250     312.07s
FLOAT_6_E1     87.390000     89.695312     41.370000     11.984375     16.970000     1.296875     473.94s
FLOAT_6_E2     91.650000     99.054688     42.760000     38.984375     13.620000     13.421875     473.40s
FLOAT_6_E3     93.410000     99.046875     46.530000     33.992188     14.550000     11.796875     473.30s
FLOAT_6_E4     89.530000     95.625000     44.260000     35.390625     17.820000     20.460938     472.14s
FLOAT_7_E1     90.160000     93.593750     41.590000     15.351562     15.700000     0.828125     801.96s
FLOAT_7_E2     92.610000     99.070312     44.680000     43.726562     12.340000     14.000000     802.51s
FLOAT_7_E3     94.080000     99.437500     48.210000     45.812500     13.040000     12.179688     801.48s
FLOAT_7_E4     93.120000     99.109375     47.720000     40.773438     14.930000     12.601562     801.43s
FLOAT_7_E5     89.320000     95.203125     42.210000     39.250000     17.570000     22.953125     801.24s
FLOAT_8_E1     90.340000     94.007812     41.470000     16.093750     14.760000     0.554688     1437.55s
FLOAT_8_E2     92.250000     99.171875     43.930000     30.164062     13.510000     12.054688     1439.68s
FLOAT_8_E3     94.240000     99.398438     47.440000     45.812500     12.370000     12.070312     1438.96s
FLOAT_8_E4     94.060000     99.382812     47.390000     45.953125     13.020000     12.484375     1438.85s
FLOAT_8_E5     93.310000     99.031250     46.520000     40.296875     14.590000     12.234375     1438.88s
FLOAT_8_E6     89.410000     91.976562     42.590000     26.476562     19.140000     15.687500     1439.03s
