ResNet_50 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      94.570000     99.945312     44.350000     70.015625     8.940000     13.328125     132.07s
INT_2     10.000000     9.820312     10.000000     9.820312     10.000000     9.820312     325.77s
INT_3     10.040000     14.148438     10.080000     12.039062     10.040000     12.109375     323.77s
INT_4     24.550000     21.554688     11.880000     9.898438     10.870000     9.882812     274.27s
INT_5     79.260000     83.382812     36.870000     39.500000     21.580000     22.937500     311.02s
INT_6     92.880000     99.015625     45.070000     55.203125     15.340000     19.492188     309.83s
INT_7     93.760000     99.921875     44.650000     64.335938     12.250000     14.515625     307.40s
INT_8     94.400000     99.921875     45.510000     71.429688     11.380000     16.343750     307.96s
INT_9     94.510000     99.945312     45.000000     70.609375     9.550000     14.187500     324.85s
INT_10     94.550000     99.945312     44.320000     69.859375     9.180000     13.507812     309.98s
INT_11     94.660000     99.945312     44.560000     70.039062     8.940000     13.304688     308.57s
INT_12     94.580000     99.945312     44.520000     69.953125     8.980000     13.421875     309.40s
INT_13     94.580000     99.945312     44.470000     69.945312     8.950000     13.195312     309.02s
INT_14     94.570000     99.945312     44.470000     69.929688     9.020000     13.171875     308.25s
INT_15     94.570000     99.945312     44.370000     70.031250     8.950000     13.242188     307.84s
INT_16     94.570000     99.945312     44.380000     69.937500     9.030000     13.304688     308.10s
POT_2     10.000000     9.820312     10.000000     9.820312     10.000000     9.820312     485.49s
POT_3     10.390000     12.835938     10.030000     9.585938     9.930000     9.476562     567.34s
POT_4     51.590000     74.953125     19.470000     30.929688     13.380000     19.828125     756.15s
POT_5     50.500000     73.953125     17.320000     36.148438     11.770000     31.187500     1123.11s
POT_6     55.340000     72.921875     22.490000     39.312500     14.490000     32.406250     1847.88s
POT_7     50.930000     72.921875     20.260000     36.695312     13.530000     28.648438     3331.46s
POT_8     44.430000     75.757812     18.900000     32.453125     14.180000     28.312500     6251.90s
FLOAT_3_E1     9.440000     15.210938     9.810000     3.289062     9.880000     2.976562     567.61s
FLOAT_4_E1     53.580000     32.593750     15.650000     21.671875     13.770000     18.554688     757.48s
FLOAT_4_E2     19.850000     58.656250     9.520000     37.015625     7.560000     35.359375     755.65s
