VGG_19 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      93.020000     99.914062     50.590000     60.492188     16.780000     26.593750     50.74s
INT_2     10.000000     9.679688     10.000000     9.679688     10.000000     9.679688     102.39s
INT_3     10.000000     9.679688     10.000000     9.679688     10.000000     9.679688     102.14s
INT_4     17.330000     22.578125     12.330000     15.132812     9.470000     14.117188     103.49s
INT_5     88.220000     98.562500     36.050000     61.734375     17.140000     41.718750     103.08s
INT_6     92.250000     99.867188     49.620000     69.320312     20.110000     40.828125     93.44s
INT_7     92.760000     99.914062     50.360000     63.726562     18.850000     32.343750     89.96s
INT_8     93.000000     99.921875     50.710000     61.210938     17.760000     28.468750     84.60s
INT_9     93.040000     99.898438     50.460000     60.617188     17.170000     27.273438     101.82s
INT_10     93.060000     99.914062     50.580000     60.523438     16.760000     26.765625     103.82s
INT_11     92.980000     99.921875     50.740000     60.351562     16.920000     26.546875     85.06s
INT_12     93.030000     99.914062     50.580000     60.468750     16.750000     26.625000     84.62s
INT_13     93.010000     99.914062     50.500000     60.523438     16.940000     26.554688     84.16s
INT_14     93.030000     99.914062     50.540000     60.515625     16.870000     26.554688     84.56s
INT_15     93.030000     99.914062     50.540000     60.476562     16.870000     26.562500     104.47s
INT_16     93.030000     99.914062     50.580000     60.437500     16.800000     26.531250     102.85s
POT_2     10.000000     9.679688     10.000000     9.679688     10.000000     9.679688     127.08s
POT_3     10.000000     9.679688     10.000000     9.679688     10.000000     9.679688     138.92s
POT_4     71.830000     82.578125     37.830000     24.765625     18.680000     17.468750     165.01s
POT_5     71.960000     81.296875     37.380000     24.375000     18.000000     17.312500     217.42s
POT_6     72.020000     82.164062     37.370000     24.554688     18.310000     17.453125     322.57s
POT_7     71.430000     82.203125     37.540000     24.234375     17.810000     17.039062     537.44s
POT_8     71.450000     81.195312     37.200000     24.437500     18.290000     17.109375     954.10s
FLOAT_3_E1     10.010000     9.679688     9.960000     9.687500     9.970000     9.679688     138.82s
FLOAT_4_E1     77.130000     77.609375     27.980000     43.015625     16.310000     30.054688     163.94s
FLOAT_4_E2     71.290000     94.898438     27.710000     33.773438     18.030000     25.085938     165.68s
FLOAT_5_E1     86.890000     95.406250     42.240000     38.531250     19.310000     23.898438     218.32s
FLOAT_5_E2     88.630000     99.554688     44.110000     47.046875     20.910000     26.898438     219.26s
FLOAT_5_E3     90.500000     99.679688     47.970000     48.367188     19.600000     24.515625     219.31s
FLOAT_6_E1     88.860000     97.664062     44.750000     35.500000     19.350000     20.781250     324.47s
FLOAT_6_E2     91.150000     99.820312     48.270000     52.203125     19.410000     26.687500     324.68s
FLOAT_6_E3     92.420000     99.898438     51.350000     60.164062     18.580000     26.484375     324.80s
FLOAT_6_E4     90.460000     99.710938     47.780000     48.328125     19.350000     24.445312     324.63s
FLOAT_7_E1     89.930000     98.476562     44.670000     35.250000     17.830000     20.281250     537.80s
FLOAT_7_E2     91.910000     99.859375     48.640000     55.484375     19.150000     26.453125     537.25s
FLOAT_7_E3     92.940000     99.914062     50.600000     59.750000     17.260000     27.234375     539.38s
FLOAT_7_E4     92.700000     99.898438     51.310000     60.328125     18.570000     26.500000     539.31s
FLOAT_7_E5     90.600000     99.703125     48.100000     48.070312     19.520000     24.328125     539.27s
FLOAT_8_E1     90.110000     98.507812     45.080000     35.031250     17.500000     19.875000     954.49s
FLOAT_8_E2     92.020000     99.914062     49.220000     55.992188     18.060000     25.960938     952.79s
FLOAT_8_E3     93.100000     99.898438     50.260000     59.765625     17.110000     26.656250     952.70s
FLOAT_8_E4     92.940000     99.906250     50.450000     59.320312     17.310000     27.242188     952.77s
FLOAT_8_E5     92.640000     99.921875     51.410000     60.554688     18.730000     26.437500     954.18s
FLOAT_8_E6     90.790000     99.734375     47.960000     48.148438     19.490000     24.445312     954.13s
