VGG_19 cifar10
Title     Org_acc     Org_gen_acc     FGSM_acc     FGSM_gen_acc     PGD_acc     PGD_gen_acc     Time
Full      93.030000     96.468750     50.580000     48.289062     16.840000     14.828125     52.77s
INT_2     10.000000     9.945312     10.000000     9.945312     10.000000     9.945312     96.00s
INT_3     10.000000     9.945312     10.000000     9.945312     10.000000     9.945312     94.59s
INT_4     17.340000     19.406250     12.000000     12.210938     10.190000     11.203125     86.37s
INT_5     88.200000     79.890625     35.510000     37.460938     17.080000     22.085938     95.28s
INT_6     92.270000     93.968750     49.290000     51.601562     20.150000     23.242188     96.17s
INT_7     92.800000     96.117188     50.060000     49.304688     18.910000     18.437500     90.90s
INT_8     92.980000     96.226562     50.590000     48.484375     17.920000     16.695312     90.05s
INT_9     93.040000     96.367188     50.320000     48.421875     17.180000     15.632812     92.23s
INT_10     93.050000     96.453125     50.610000     48.523438     16.900000     15.312500     90.34s
INT_11     93.000000     96.460938     50.580000     48.328125     16.930000     15.031250     90.91s
INT_12     93.030000     96.460938     50.600000     48.390625     16.840000     14.921875     90.62s
INT_13     93.020000     96.460938     50.560000     48.304688     16.840000     14.898438     92.62s
INT_14     93.020000     96.460938     50.510000     48.289062     16.850000     14.906250     91.85s
INT_15     93.030000     96.460938     50.550000     48.226562     16.820000     14.890625     90.73s
INT_16     93.020000     96.468750     50.640000     48.250000     16.730000     14.929688     93.51s
POT_2     10.000000     9.945312     10.000000     9.945312     10.000000     9.945312     131.40s
POT_3     10.000000     9.945312     10.000000     9.945312     10.000000     9.945312     142.94s
POT_4     71.750000     51.281250     37.890000     26.898438     18.670000     18.296875     169.33s
POT_5     71.750000     50.445312     36.830000     25.984375     18.010000     17.914062     221.88s
POT_6     71.900000     51.773438     37.120000     26.546875     18.570000     18.000000     325.98s
POT_7     71.420000     52.296875     37.100000     26.640625     18.220000     17.828125     540.99s
POT_8     71.330000     51.046875     37.440000     26.000000     18.410000     17.500000     955.80s
FLOAT_3_E1     10.000000     9.953125     10.070000     9.960938     10.010000     9.953125     139.87s
FLOAT_4_E1     77.180000     53.250000     26.920000     36.937500     15.590000     26.500000     167.38s
FLOAT_4_E2     71.290000     80.570312     28.350000     31.726562     17.350000     23.281250     166.30s
FLOAT_5_E1     86.940000     76.109375     42.550000     39.476562     19.490000     24.515625     219.69s
FLOAT_5_E2     88.600000     92.351562     44.490000     41.062500     21.190000     18.078125     219.69s
FLOAT_5_E3     90.470000     95.218750     47.770000     41.828125     19.290000     18.851562     220.72s
FLOAT_6_E1     88.850000     85.789062     44.830000     38.187500     19.830000     22.335938     325.89s
FLOAT_6_E2     91.160000     93.945312     48.750000     45.328125     19.660000     19.773438     325.96s
FLOAT_6_E3     92.440000     96.523438     51.350000     47.250000     18.790000     12.625000     325.88s
FLOAT_6_E4     90.540000     95.109375     48.140000     41.835938     19.490000     18.242188     325.96s
FLOAT_7_E1     89.910000     87.546875     44.600000     38.703125     17.840000     22.023438     540.81s
FLOAT_7_E2     91.930000     95.109375     49.150000     46.820312     19.320000     19.820312     540.80s
FLOAT_7_E3     92.920000     96.328125     50.620000     48.382812     17.310000     15.632812     540.87s
FLOAT_7_E4     92.700000     96.546875     51.260000     47.156250     18.720000     12.664062     540.89s
FLOAT_7_E5     90.580000     95.226562     47.660000     41.632812     19.500000     18.468750     540.80s
FLOAT_8_E1     90.100000     87.765625     45.000000     38.296875     17.510000     21.710938     955.80s
FLOAT_8_E2     92.040000     95.437500     49.610000     47.187500     18.310000     19.351562     955.09s
FLOAT_8_E3     93.090000     96.468750     50.520000     47.914062     16.990000     15.812500     954.98s
FLOAT_8_E4     92.920000     96.375000     50.560000     48.312500     17.400000     15.710938     955.04s
FLOAT_8_E5     92.620000     96.703125     51.200000     47.195312     18.730000     12.593750     955.57s
FLOAT_8_E6     90.770000     94.867188     47.870000     41.742188     19.570000     18.664062     954.81s
